"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"mgm4563526","free-living","marine","sediment","coastal_marine_sediment","Finland","FishFarmMG",60.1638,21.24347,"virta","illumina"
"mgm4565980","free-living","marine","sediment","coastal_marine_sediment","Finland","FishFarmMG",60.267726,21.407676,"virta","illumina"
"mgm4565982","free-living","marine","sediment","coastal_marine_sediment","Finland","FishFarmMG",60.267726,21.407676,"virta","illumina"
"mgm4565983","free-living","marine","sediment","coastal_marine_sediment","Finland","FishFarmMG",60.267726,21.407676,"virta","illumina"
"mgm4565984","free-living","marine","sediment","coastal_marine_sediment","Finland","FishFarmMG",60.267726,21.407676,"virta","illumina"
"mgm4576679","free-living","freshwater","wastewater","sludge","USA","sewage virome",42.7369792,-84.4838654,"aw","illumina"
"mgm4616918","free-living","freshwater","wastewater","wastewater_treatment_plant","South Korea","anaerobic methane oxidation with extracellular electron transfer",36,128,"lee","illumina"
"mgm4687975","free-living","freshwater","wastewater","sludge","Australia","AOB",-27.4986,152.98,"laloo","illumina"
"mgm4709382","free-living","freshwater","wastewater","sewage","United Kingdom","H2AD",50.9339,-1.4107,"alessi","illumina"
"mgm4711612","free-living","freshwater","wastewater","sludge","China","Coking Wastewater Sludge metagenome",39.9075,116.3972,"joshi","illumina"
"mgm4626319","free-living","freshwater","wastewater","sewage","Brazil","Anaerobic Reactors",-22.0026,-47.9298,"delforno","illumina"
"mgm4460449","free-living","freshwater","freshwater","hot_spring","United States of America","Diamond Fork Biofilm2",40.69,-111.2,"udall","454"
"mgm4467029","free-living","freshwater","freshwater","lake","United States of America","Lake Erie Bloom Metagenome",42.14694444,-8.014444444,"wilhelm","454"
"mgm4467058","free-living","freshwater","freshwater","lake","People's Republic of China","Freshwater Microcystis Bloom Metagenomes",31.26,120.12,"wilhelm","454"
"mgm4467059","free-living","freshwater","freshwater","lake","United States of America","Freshwater Microcystis Bloom Metagenomes",40.531,-84.499,"wilhelm","454"
"mgm4723381","free-living","freshwater","freshwater","lake","Malaysia","Metagenomics of Temenggor Lake, Malaysia 2",5.583683333,101.3451,"Lau","illumina"
"mgm4631155","free-living","freshwater","freshwater","river","USA","Experimental Metagenome on MinION",37.544717,-77.454775,"brown","ion torrent"
"mgm4631156","free-living","freshwater","freshwater","river","USA","Experimental Metagenome on MinION",37.544717,-77.454775,"brown","ion torrent"
"mgm4641382","free-living","freshwater","freshwater","river","USA","James River Epidemiological Metagenome",37.527941,-77.436144,"brown","ion torrent"
"mgm4729772","free-living","freshwater","wastewater","sewage","USA","WWTP_filter_bioslime",41.598788,-91.507808,"just","illumina"
"mgm4730042","free-living","freshwater","sediment","river_sediment","USA","Mussel_bed_metagenomics",41.45154,-90.753275,"just","illumina"
"mgm4491635","free-living","freshwater","freshwater","lake","Germany","Hydra DNA Virome",54.3333,10.3333,"grasis","454"
"mgm4491637","free-living","freshwater","freshwater","lake","Germany","Hydra DNA Virome",54.3333,10.3333,"grasis","454"
"mgm4491639","free-living","freshwater","freshwater","lake","USA","Hydra DNA Virome",32.7753,-117.0722,"grasis","454"
"mgm4491641","free-living","freshwater","freshwater","lake","Germany","Hydra DNA Virome",54.3333,10.3333,"grasis","454"
"mgm4491642","free-living","freshwater","freshwater","lake","USA","Hydra DNA Virome",32.7753,-117.0722,"grasis","454"
"mgm4491643","free-living","freshwater","freshwater","lake","USA","Hydra DNA Virome",32.5046,-117.0017,"grasis","454"
"mgm4491645","free-living","freshwater","freshwater","lake","USA","Hydra DNA Virome",32.7753,-117.0722,"grasis","454"
"mgm4491646","free-living","freshwater","freshwater","lake","USA","Hydra DNA Virome",32.5046,-117.0017,"grasis","454"
"mgm4529716","free-living","freshwater","freshwater","hot_spring","Italy","Hotzyme Sun Spring",40.826906,14.139142,"peng","illumina"
"mgm4529718","free-living","freshwater","freshwater","hot_spring","Italy","Hotzyme Sun Spring",40.829206,14.147128,"peng","454"
"mgm4529719","free-living","freshwater","freshwater","hot_spring","USA","Hotzyme Sun Spring",44.753611,-110.723611,"peng","454"
"mgm4529720","free-living","freshwater","freshwater","hot_spring","USA","Hotzyme Sun Spring",44.655,-110.4825,"peng","454"
"mgm4530143","free-living","freshwater","freshwater","hot_spring","Iceland","Hotzyme Sun Spring",64.031667,-21.196667,"peng","illumina"
"mgm4530144","free-living","freshwater","freshwater","hot_spring","China","Hotzyme Sun Spring",26.257222,99.990278,"peng","illumina"
"mgm4544453","free-living","freshwater","freshwater","hot_spring","Russia","Hotzyme Sun Spring",54.498889,159.991944,"peng","454"
"mgm4583585","free-living","freshwater","freshwater","hot_spring","Iceland","Hotzyme Sun Spring",63.90416,-22.05805,"peng","illumina"
"mgm4606757","free-living","freshwater","sediment","river_sediment","USA","WC",38.010278,-81.150528,"fahrenfeld","illumina"
"mgm4606758","free-living","freshwater","sediment","river_sediment","USA","WC",38.015222,-81.150917,"fahrenfeld","illumina"
"mgm4606759","free-living","freshwater","sediment","river_sediment","USA","WC",38.015222,-81.150917,"fahrenfeld","illumina"
"mgm4606760","free-living","freshwater","sediment","river_sediment","USA","WC",38.015222,-81.153083,"fahrenfeld","illumina"
"mgm4606761","free-living","freshwater","sediment","river_sediment","USA","WC",38.014944,-81.152361,"fahrenfeld","illumina"
"mgm4606762","free-living","freshwater","sediment","river_sediment","USA","WC",38.015194,-81.151833,"fahrenfeld","illumina"
"mgm4614547","free-living","freshwater","sediment","river_sediment","USA","WC",38.010278,-81.150528,"fahrenfeld","illumina"
"mgm4614548","free-living","freshwater","sediment","river_sediment","USA","WC",38.015222,-81.150917,"fahrenfeld","illumina"
"mgm4614549","free-living","freshwater","sediment","river_sediment","USA","WC",38.015222,-81.150917,"fahrenfeld","illumina"
"mgm4614550","free-living","freshwater","sediment","river_sediment","USA","WC",38.015222,-81.153083,"fahrenfeld","illumina"
"mgm4614551","free-living","freshwater","sediment","river_sediment","USA","WC",38.014944,-81.152361,"fahrenfeld","illumina"
"mgm4614552","free-living","freshwater","sediment","river_sediment","USA","WC",38.015194,-81.151833,"fahrenfeld","illumina"
"mgm4635906","free-living","freshwater","wastewater","sewage","USA","WC",38.010278,-81.150528,"fahrenfeld","illumina"
"mgm4635907","free-living","freshwater","wastewater","sewage","USA","WC",38.015222,-81.150917,"fahrenfeld","illumina"
"mgm4635908","free-living","freshwater","wastewater","sewage","USA","WC",38.015222,-81.150917,"fahrenfeld","illumina"
"mgm4635909","free-living","freshwater","wastewater","sewage","USA","WC",38.015222,-81.153083,"fahrenfeld","illumina"
"mgm4635910","free-living","freshwater","wastewater","sewage","USA","WC",38.014944,-81.152361,"fahrenfeld","illumina"
"mgm4460448","free-living","freshwater","freshwater","stream_biofilm","United States of America","Diamond Fork Biofilm2",40.69,-111.2,"udall","454"
"mgm4447447","host-associated","terrestrial","animal_host-associated","animal_feces","USA","T5KO_454_MetaG",42.444015,-76.501893,"ley","454"
"mgm4447449","host-associated","terrestrial","animal_host-associated","animal_feces","USA","T5KO_454_MetaG",42.444015,-76.501893,"ley","454"
"mgm4453246","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453247","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453254","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453256","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453257","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453261","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453274","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453407","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453433","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453434","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4453435","free-living","terrestrial","soil","grassland","England","Soil microbial community from Rothamsted, Park Grass (METASOIL project)",51.481481,0.222231,"tom o delmont","454"
"mgm4445728","host-associated","terrestrial","human_host-associated","saliva","United States of America","Saliva Virome",14,-14,"Pride","454"
"mgm4445731","host-associated","terrestrial","human_host-associated","saliva","United States of America","Saliva Virome",32.9,-117.2,"Pride","454"
"mgm4445735","host-associated","terrestrial","human_host-associated","saliva","United States of America","Saliva Virome",32.9,-117.2,"Pride","454"
"mgm4445737","host-associated","terrestrial","human_host-associated","saliva","United States of America","Saliva Virome",32.9,-117.2,"Pride","454"
"mgm4446075","host-associated","terrestrial","human_host-associated","saliva","United States of America","Saliva Virome",32.9,-117.2,"Pride","454"
"mgm4446120","host-associated","terrestrial","human_host-associated","saliva","United States of America","Saliva Virome",32.9,-117.2,"Pride","454"
"mgm4446126","host-associated","terrestrial","human_host-associated","saliva","United States of America","Saliva Virome",14,-14,"Pride","454"
"mgm4447101","host-associated","terrestrial","human_host-associated","saliva","Spain","The oral metagenome in health and disease",39.481448,0.353066,"mira","454"
"mgm4447102","host-associated","terrestrial","human_host-associated","saliva","Spain","The oral metagenome in health and disease",39.481448,0.353066,"mira","454"
"mgm4447103","host-associated","terrestrial","human_host-associated","saliva","Spain","The oral metagenome in health and disease",39.481448,0.353066,"mira","454"
"mgm4447903","host-associated","terrestrial","human_host-associated","saliva","Spain","The oral metagenome in health and disease",39.481448,0.353066,"mira","454"
"mgm4447943","host-associated","terrestrial","human_host-associated","saliva","Spain","The oral metagenome in health and disease",39.481448,0.353066,"mira","454"
"mgm4447970","host-associated","terrestrial","human_host-associated","saliva","Spain","The oral metagenome in health and disease",39.481448,0.353066,"mira","454"
"mgm4447971","host-associated","terrestrial","human_host-associated","saliva","Spain","The oral metagenome in health and disease",39.481448,0.353066,"mira","454"
"mgm4441205","host-associated","terrestrial","plant_associated","rhizosphere","Switzerland","phyllosphere microbiota",47.44611,8.68694,"vorholt","454"
"mgm4447810","host-associated","terrestrial","plant_associated","rhizosphere","Spain","phyllosphere microbiota",41.21333,-4.54556,"vorholt","454"
"mgm4447811","host-associated","terrestrial","plant_associated","rhizosphere","Switzerland","phyllosphere microbiota",47.44083,8.49833,"vorholt","454"
"mgm4449956","host-associated","terrestrial","plant_associated","rhizosphere","Philippines","phyllosphere microbiota",14.1387,121.26159,"vorholt","454"
"mgm4450130","host-associated","terrestrial","plant_associated","rhizosphere","Czech Republic","rhizosphere",48.99,14.16,"paces","454"
"mgm4450131","host-associated","terrestrial","plant_associated","rhizosphere","Czech Republic","rhizosphere",48.99,14.16,"paces","454"
"mgm4450171","host-associated","terrestrial","plant_associated","rhizosphere","Czech Republic","rhizosphere",48.99,14.16,"paces","454"
"mgm4450172","host-associated","terrestrial","plant_associated","rhizosphere","Czech Republic","rhizosphere",48.99,14.16,"paces","454"
"mgm4450328","host-associated","terrestrial","plant_associated","rhizosphere","Philippines","phyllosphere microbiota",14.1387,121.26159,"vorholt","454"
"mgm4450628","host-associated","terrestrial","plant_associated","rhizosphere","Czech Republic","rhizosphere",48.99,14.16,"paces","454"
"mgm4450629","host-associated","terrestrial","plant_associated","rhizosphere","Czech Republic","rhizosphere",48.99,14.16,"paces","454"
"mgm4450630","host-associated","terrestrial","plant_associated","rhizosphere","Czech Republic","rhizosphere",48.99,14.16,"paces","454"
"mgm4450631","host-associated","terrestrial","plant_associated","rhizosphere","Czech Republic","rhizosphere",48.99,14.16,"paces","454"
"mgm4470861","free-living","terrestrial","soil","contaminated_soil","Brazil","Cubatao_metagenomic",-23.8658333,-46.4375278,"karolski","454"
"mgm4477970","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Metagenomics of Ethanol-induced dysbiosis in a mouse model of liver disease",34.061183,-118.205571,"schnabl","illumina"
"mgm4477971","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Metagenomics of Ethanol-induced dysbiosis in a mouse model of liver disease",34.061183,-118.205571,"schnabl","illumina"
"mgm4492800","host-associated","terrestrial","animal_host-associated","animal_feces","USA","NEPRC Macaque 24 weeks post-infection",42.3056,-71.52,"handley","454"
"mgm4492801","host-associated","terrestrial","animal_host-associated","animal_feces","USA","NEPRC Macaque 24 weeks post-infection",42.3056,-71.52,"handley","454"
"mgm4492811","host-associated","terrestrial","animal_host-associated","animal_feces","USA","NEPRC Macaque 24 weeks post-infection",42.3056,-71.52,"handley","454"
"mgm4496433","host-associated","terrestrial","human_host-associated","saliva","Switzerland","Salivary microbiome in otitis media patients",46.19,6.15,"lazarevic","454"
"mgm4503259","host-associated","terrestrial","human_host-associated","lung","USA","Cystic Fibrosis Metagenomes and Metatranscriptomes",32.715786,-117.158339833333,"rohwer","454"
"mgm4503260","host-associated","terrestrial","human_host-associated","lung","USA","Cystic Fibrosis Metagenomes and Metatranscriptomes",32.715786,-117.158339833333,"rohwer","454"
"mgm4503261","host-associated","terrestrial","human_host-associated","lung","USA","Cystic Fibrosis Metagenomes and Metatranscriptomes",32.715786,-117.158339833333,"rohwer","454"
"mgm4503262","host-associated","terrestrial","human_host-associated","lung","USA","Cystic Fibrosis Metagenomes and Metatranscriptomes",32.715786,-117.158339833333,"rohwer","454"
"mgm4503268","host-associated","terrestrial","human_host-associated","lung","USA","Cystic Fibrosis Metagenomes and Metatranscriptomes",32.715786,-117.158339833333,"rohwer","454"
"mgm4503275","host-associated","terrestrial","human_host-associated","lung","USA","Cystic Fibrosis Metagenomes and Metatranscriptomes",32.715786,-117.158339833333,"rohwer","454"
"mgm4503285","host-associated","terrestrial","human_host-associated","lung","USA","Cystic Fibrosis Metagenomes and Metatranscriptomes",32.715786,-117.158339833333,"rohwer","454"
"mgm4503286","host-associated","terrestrial","human_host-associated","lung","USA","Cystic Fibrosis Metagenomes and Metatranscriptomes",32.715786,-117.158339833333,"rohwer","454"
"mgm4535523","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Diet Virome - Part II",14.7897,-87.5997,"chang","illumina"
"mgm4544115","free-living","terrestrial","soil","compost","France","Biomines",48.807,21.37,"blanquet","454"
"mgm4544116","free-living","terrestrial","soil","compost","France","Biomines",48.807,21.37,"blanquet","454"
"mgm4544117","free-living","terrestrial","soil","compost","France","Biomines",48.807,21.37,"blanquet","454"
"mgm4544118","free-living","terrestrial","soil","compost","France","Biomines",48.807,21.37,"blanquet","454"
"mgm4587434","host-associated","terrestrial","human_host-associated","human_feces","USA","HMP SRP002423 Bacterial Fungal Taxonomic Analysis",39.2903848,-76.6121893,"koh","illumina"
"mgm4587437","host-associated","terrestrial","human_host-associated","human_feces","USA","HMP SRP002423 Bacterial Fungal Taxonomic Analysis",39.2903848,-76.6121893,"koh","illumina"
"mgm4601010","host-associated","terrestrial","human_host-associated","human_feces","USA","IBD Virome",34.0752969,-118.3805177,"virgin","454"
"mgm4601022","host-associated","terrestrial","human_host-associated","human_feces","USA","IBD Virome",34.0752969,-118.3805177,"virgin","454"
"mgm4603086","free-living","terrestrial","soil","agricultural_soil","China","Functional association and attribution of entophyte bacteria during the infection of  root-knot nematodes to plant",26.647661,106.630154,"tian","illumina"
"mgm4630170","host-associated","terrestrial","human_host-associated","human_feces","USA","PeruvianFemaleMummy",32.8774915,-117.2352765,"cano","illumina"
"mgm4630172","host-associated","terrestrial","human_host-associated","human_feces","USA","PeruvianFemaleMummy",32.8774915,-117.2352765,"cano","illumina"
"mgm4696185","free-living","terrestrial","soil","forest_soil","Viet Nam","EBR shotgun metagenomic",11.232983,107.040932,"nguyen","illumina"
"mgm4696741","free-living","terrestrial","soil","forest_soil","Viet Nam","EBR shotgun metagenomic",11.232983,107.040932,"nguyen","illumina"
"mgm4706424","host-associated","terrestrial","plant_associated","plant-associated","Japan","Metagenome sequence of bacteria associated with soybean plants",38.2737,141.533,"minamisawa","454"
"mgm4706425","host-associated","terrestrial","plant_associated","plant-associated","Japan","Metagenome sequence of bacteria associated with soybean plants",38.2737,141.533,"minamisawa","454"
"mgm4715697","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool6",53.49191,1.314801,"cheng","illumina"
"mgm4715820","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool6",53.49191,1.314801,"cheng","illumina"
"mgm4715924","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool7",53.49191,1.314801,"cheng","illumina"
"mgm4715925","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool7",53.49191,1.314801,"cheng","illumina"
"mgm4715926","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool7",53.49191,1.314801,"cheng","illumina"
"mgm4715927","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool7",53.49191,1.314801,"cheng","illumina"
"mgm4715928","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool7",53.49191,1.314801,"cheng","illumina"
"mgm4715929","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool7",53.49191,1.314801,"cheng","illumina"
"mgm4716061","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool6",53.49191,1.314801,"cheng","illumina"
"mgm4716128","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool4",53.49191,1.314801,"cheng","illumina"
"mgm4716130","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool7",53.49191,1.314801,"cheng","illumina"
"mgm4716311","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool5",53.49191,1.314801,"cheng","illumina"
"mgm4716318","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool5",53.49191,1.314801,"cheng","illumina"
"mgm4716320","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool5",53.49191,1.314801,"cheng","illumina"
"mgm4716322","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool5",53.49191,1.314801,"cheng","illumina"
"mgm4716324","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool5",53.49191,1.314801,"cheng","illumina"
"mgm4716338","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool6",53.49191,1.314801,"cheng","illumina"
"mgm4716399","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool6",53.49191,1.314801,"cheng","illumina"
"mgm4716510","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool4",53.49191,1.314801,"cheng","illumina"
"mgm4716511","host-associated","terrestrial","human_host-associated","human_associated_biofilm","United Kingdom","RAP_pool4",53.49191,1.314801,"cheng","illumina"
"mgm4726935","free-living","terrestrial","soil","grassland","USA","Loma Experiment",33.7399,-117.7285,"nelson","illumina"
"mgm4726936","free-living","terrestrial","soil","grassland","USA","Loma Experiment",33.7399,-117.7285,"nelson","illumina"
"mgm4726937","free-living","terrestrial","soil","grassland","USA","Loma Experiment",33.7399,-117.7285,"nelson","illumina"
"mgm4726938","free-living","terrestrial","soil","grassland","USA","Loma Experiment",33.7399,-117.7285,"nelson","illumina"
"mgm4726939","free-living","terrestrial","soil","grassland","USA","Loma Experiment",33.7399,-117.7285,"nelson","illumina"
"mgm4726940","free-living","terrestrial","soil","grassland","USA","Loma Experiment",33.7399,-117.7285,"nelson","illumina"
