"sample","file_size_in_bytes","total_reads","GC_content","read_mean_lenght","total_base_pairs","read_size_std","maximum_read_size","minimum_read_size"
"mgm4569551",21816714,110034,0.515395261116012,139.99775523929,15404513,20.6604593600916,150,50
"mgm4575355",15854085,82725,0.589137016594452,134.472045935328,11124200,58.9299768966073,534,50
"mgm4575356",75233675,403510,0.582192468557683,129.355646700206,52196297,56.5250740420665,560,50
"mgm4575357",1170177,6202,0.549365543928226,131.337633021606,814556,57.2855350665206,504,50
"mgm4575358",9462670,47362,0.551287477389604,142.477133566995,6748002,63.7565170868665,556,50
"mgm4575359",43590267,227506,0.554653471911481,134.43815108173,30585486,62.3500753056897,556,50
"mgm4575360",44944798,210138,0.56640959157211,156.346510388411,32854343,60.9392967269704,557,50
"mgm4575361",51204220,270285,0.579724953251181,132.287951606637,35755449,57.0808345185127,551,50
"mgm4575362",69031171,321547,0.575787026930992,157.157625479323,50533563,88.0269887462093,573,51
"mgm4575363",52301837,192573,0.566224291991066,213.131321628681,41043338,95.731638774303,580,51
"mgm4575364",11769004,57578,0.552922162055241,146.981989648824,8462929,62.8778014624388,499,51
"mgm4575365",53682089,205482,0.572376686431494,202.959650966995,41704555,93.074638238075,573,51
"mgm4575366",5856039,25169,0.494208458224203,174.785410624181,4399174,94.4702920097612,558,51
"mgm4575367",68407858,302611,0.480794224566613,168.330933112147,50938792,85.6363117856066,571,51
"mgm4575368",5712364,24016,0.493322292536075,179.919387075283,4320944,90.0947369142818,541,51
"mgm4575369",79763111,367268,0.48526138014721,160.594446017622,58981201,87.2539772992251,571,51
"mgm4575370",20603968,92922,0.475143821868148,165.062062805364,15337897,84.7963686853944,548,51
"mgm4575371",60004500,252743,0.4819790100964,180.480444562263,45615169,88.8334613307021,555,51
"mgm4575372",12533622,60332,0.463057763053819,151.295829742094,9127980,86.6530815503541,559,51
"mgm4575373",1545723,7538,0.479596633368544,148.445476253648,1118982,83.1078898918198,508,51
"mgm4575374",98544129,494326,0.471981938538424,143.0515489778,70714100,77.6576754721877,562,51
"mgm4575375",3956010,19486,0.479412508893453,146.640613773992,2857439,80.9644860137908,538,51
"mgm4575376",12947873,58847,0.4676583438487,163.394786480194,9615293,92.9986513523556,563,51
"mgm4575377",15283047,78179,0.471556088817515,139.229076862073,10884790,79.6898110882403,552,51
"mgm4726046",34896787,103702,0.640866076958592,277.055071261885,28731165,54.7044502596159,301,50
"mgm4726047",16346680,48846,0.624399218898065,275.129242926749,13438963,51.4077184862886,301,50
"mgm4491639",20923530,56318,0.435216370013245,349.204446180617,19666496,182.249931159056,823,60
"mgm4491642",13138946,37359,0.467560073494447,329.696217778848,12317121,151.434355585854,800,60
"mgm4491645",5792849,21297,0.504088147026807,251.305723810865,5352058,140.380160272108,835,60
"mgm4491646",6467094,20369,0.606152875131589,296.044184790613,6030124,161.534307405504,834,60
"mgm4494621",821794912,5665712,0.595343138630566,100.000017650032,566571300,1.76500323328149e-05,100,100
"mgm4494623",779519588,5374325,0.594960380148134,100.000018606988,537432600,1.8606987851249e-05,100,100
"mgm4585272",736694288,2601469,0.493307366633575,232.45886497206,604734531,96.8846289118653,594,50
"mgm4600826",3061219200,8037443,0.528351930302701,319.765980797624,2570100844,115.724610671941,594,50
"mgm4600827",2752848449,7427080,0.481039100272906,309.55885798995,2299118403,128.515561929532,594,50
"mgm4600828",2543274886,6830376,0.554351333365513,311.236861923853,2125864792,114.497161060174,594,50
"mgm4605923",8167796,20969,0.386515848612102,322.145595879632,6755071,157.085658981158,1252,200
"mgm4605925",3149961,9408,0.498360695761199,269.928996598639,2539492,68.7509025499905,540,200
"mgm4622354",16375182794,79248841,0.581557535490592,159.47518853935,12638223860,32.1869366094755,294,151
"mgm4683415",4378413076,31229553,0.539532095162515,96.7171608572175,3020433701,11.3284404765712,192,50
"mgm4683416",4025956043,28796276,0.614010077862282,96.3301572050497,2773949794,11.6442053526496,192,50
"mgm4683417",4116080620,29432221,0.617054920762581,96.376593563904,2836577201,11.7339081254464,192,50
"mgm4705359",3482824744,21290544,0.519546815843403,121.207264126271,2580568590,13.2407154116973,125,50
"mgm4705360",3342456709,20398567,0.518035335190384,121.46842800281,2477781867,12.9300874699421,125,50
"mgm4709945",1037415337,6424051,0.507939235142217,119.170098587324,765554791,15.9299619672608,125,50
"mgm4709946",1110202491,6841085,0.510684787972765,119.945076987057,820554467,14.9395307836459,125,50
"mgm4709968",3093298331,19110112,0.516275676249046,119.533644596117,2284301336,15.7514855939537,125,50
"mgm4713074",3342456709,20398567,0.518035335190384,121.46842800281,2477781867,12.9300874699421,125,50
"mgm4713075",1117900316,6843254,0.510598579674811,120.982986018055,827917303,13.5750300574474,125,50
"mgm4713077",311250126,1894991,0.516810144330228,121.845242536772,230895638,12.1038121186773,125,50
"mgm4714040",3073407357,15306422,0.48557436852963,155.618890750562,2381968413,43.0158430772588,294,50
"mgm4714041",3211625838,16383685,0.55523210254165,150.815265369177,2470909801,40.4697891092996,294,50
"mgm4714042",3388338754,16624874,0.456619839557917,158.650093408227,2637537813,44.2115363144795,294,50
"mgm4714043",5010764733,24717358,0.542415344773398,157.656695023797,3896856972,46.5204661473302,294,50
"mgm4714044",3195818916,15075686,0.482228391021325,167.076973412686,2518799989,50.8596610146279,294,50
"mgm4714045",1560056987,7052094,0.526237728206227,176.422432542731,1244147578,58.1487199733305,294,50
"mgm4714046",49033535,193188,0.471813809747267,209.37475930182,40448691,61.715136969073,294,50
"mgm4714047",33986469,134478,0.485833780545214,208.305068487039,28012449,61.6408769480151,294,50
"mgm4714048",2973201156,14962287,0.480641142203318,153.518652663192,2296990141,41.6441522869427,294,50
"mgm4714049",2544583125,12672490,0.46396941344093,155.595852433105,1971786884,42.1182902939907,294,50
"mgm4714050",2672062574,13530492,0.485377259824572,152.26350852578,2060200184,40.1379804973722,294,50
"mgm4714051",3744208672,18263950,0.538067493462038,159.937859389672,2921097067,47.452927526439,294,50
"mgm4714052",3139317123,15700051,0.545873944987294,154.765473755467,2429825831,42.4167311530528,294,50
"mgm4714053",5773841573,28287980,0.541812054754128,159.053624649056,4499305753,47.384647476742,294,50
"mgm4715690",2644707938,13597600,0.476145185358381,148.399118373831,2017871852,24.3561393479571,294,50
"mgm4723070",1521599023,5447802,0.472654725184702,225.380910502988,1227830575,84.3620831011847,532,50
"mgm4723071",1716823170,5825173,0.448803522801168,240.248999471775,1399491985,89.9504403469842,532,50
"mgm4723381",26460983106,140398341,0.509063135497174,142.721827090535,20037907748,42.7707771091465,294,50
"mgm4723474",585529976,2225620,0.488925440295557,211.122680870948,469878861,89.8865209366181,532,50
"mgm4779367",2894818,9337,0.464488272938706,259.53561100996,2423284,65.4619785064412,494,54
"mgm4779621",1061669,5311,0.421378734710683,151.367162492939,803911,10.7568979254315,286,64
"mgm4779622",1222150,6085,0.429300117727927,152.294658997535,926713,16.9382921504911,289,50
"mgm4532156",128238180,820773,0.516113039270364,134.513735222772,110405242,36.7450071106195,284,50
"mgm4533663",9127654,29493,0.496117598894217,250.94395280236,7401090,0.276152683891453,251,244
"mgm4533664",876928,2831,0.468542547832718,251.044154009184,710706,0.25116115305093,251,247
"mgm4533665",66295920,214204,0.502482703085425,250.935995592986,53751494,0.300784231024926,251,237
"mgm4533666",73720782,238971,0.481746140100833,250.934795435429,59966139,0.287541658475574,251,243
"mgm4533667",42877604,138983,0.478736890660141,250.948094371254,34877519,0.252946984202832,251,243
"mgm4533668",20162968,65356,0.492013880568649,250.94511598017,16400769,0.280752908917022,251,240
"mgm4533669",1763810,5718,0.467050984742484,250.978663868485,1435096,0.317823597828269,251,245
"mgm4533670",55933971,181303,0.481398430857542,250.937259725432,45495678,0.288160431635744,251,239
"mgm4533671",23265844,75413,0.475725921142058,250.947635023139,18924714,0.282931919609452,251,238
"mgm4533672",2889572,9368,0.471183685344168,250.96754910333,2351064,0.297074652874314,251,244
"mgm4533673",26569652,86123,0.503889318508518,250.945055327845,21612141,0.271008353073524,251,242
"mgm4533674",28951540,93847,0.539103808395829,250.93022685861,23549049,0.285080380352522,251,244
"mgm4533675",8334064,26928,0.446629847367565,250.960672905526,6757869,0.237941144864428,251,246
"mgm4533676",1052813,3399,0.442096824853619,251.030303030303,853252,0.242591297164932,251,247
"mgm4533677",73515811,237522,0.467654872636293,250.952488611581,59606737,0.24675225272587,251,242
"mgm4533678",24544689,79300,0.451855950701072,250.955838587642,19900798,0.240641265685541,251,241
"mgm4533679",1833961,5922,0.456294310853123,250.991894630192,1486374,0.244660042923962,251,247
"mgm4533680",6184678,19987,0.455968358391181,250.959473657878,5015927,0.27791706823097,251,244
"mgm4534328",59065967,404237,0.43231047056437,100.000247379631,40423800,0.000247379631260497,100,100
"mgm4534329",39753198,272359,0.434410889998531,100.000367162458,27236000,0.00036716245837332,100,100
"mgm4534330",82790358,566834,0.435266294424303,100.000176418493,56683500,0.000176418492898949,100,100
"mgm4534331",82788603,566822,0.436617903648934,100.000176422228,56682300,0.000176422227796553,100,100
"mgm4534332",37779165,258639,0.435197958552428,100.000386639293,25864000,0.000386639292599921,100,100
"mgm4534333",37779453,258641,0.436692532535319,100.000386636303,25864200,0.000386636302834927,100,100
"mgm4534334",198110823,1356779,0.443345848258376,100.000073703971,135678000,7.37039709543201e-05,100,100
"mgm4534335",198110539,1356777,0.444751587953225,100.00007370408,135677800,7.3704079597636e-05,100,100
"mgm4534337",101479395,694636,0.43841334394799,100.00014396029,69463700,0.000143960289988794,100,100
"mgm4534338",138004046,944888,0.440908508830138,100.000105832649,94488900,0.000105832648955911,100,100
"mgm4534339",650787,4503,0.441623001776199,100.022207417277,450400,0.0222074172773718,100,100
"mgm4534340",208883859,1430528,0.449238225859105,100.000069904259,143052900,6.99042591206427e-05,100,100
"mgm4534341",208882983,1430522,0.450895329889837,100.000069904552,143052300,6.99045523188767e-05,100,100
"mgm4534342",39783230,272340,0.442767706661869,100.000367188074,27234100,0.00036718807372447,100,100
"mgm4534343",39782786,272337,0.444852976815575,100.000367192119,27233800,0.00036719211858871,100,100
"mgm4534344",16944602,115741,0.435191460316912,100.000863998065,11574200,0.000863998064644113,100,100
"mgm4534345",12794023,87379,0.441197642481117,100.00114443974,8738000,0.00114443973952007,100,100
"mgm4534346",232799560,1594293,0.430997538722469,100.000062723728,159429400,6.27237276953685e-05,100,100
"mgm4534347",240220161,1644969,0.432139735071156,100.000060791419,164497000,6.07914191720717e-05,100,100
"mgm4534348",68481377,468872,0.430018043265447,100.000213277824,46887300,0.000213277824230411,100,100
"mgm4534349",31416384,214992,0.431555911122688,100.000465133586,21499300,0.000465133586358821,100,100
"mgm4534350",99981991,684567,0.437228660994963,100.00014607774,68456800,0.000146077739656304,100,100
"mgm4534351",171652758,1175413,0.441323737848962,100.00008507648,117541400,8.50764795072076e-05,100,100
"mgm4549286",26186329,158180,0.481145476706736,100.06694272348,15828589,5.69176055359532,101,50
"mgm4549287",57415369,347860,0.501687410594525,99.5600126487667,34632946,5.45288898380763,101,50
"mgm4549294",10328365,62272,0.495292176858831,100.37161163926,6250341,4.86370034005588,101,50
"mgm4549295",17501571,106218,0.521251553835247,99.2757912971436,10544876,6.03467438655845,101,50
"mgm4549326",2626837,15844,0.509410677082181,99.8807750568038,1582511,6.15353138104085,101,50
"mgm4549327",3112873,18898,0.520823325594908,98.8096623981374,1867305,7.1056360188522,101,50
"mgm4549328",3468000,21024,0.492759962223802,99.0673991628615,2082793,7.01570802518007,101,50
"mgm4549329",5077562,30925,0.513550461769632,98.303767178658,3040044,7.47800681811822,101,50
"mgm4549332",1772916,10703,0.515012694040827,99.73185088293,1067430,6.57176132471869,101,50
"mgm4549333",2340517,14283,0.52971133516599,97.9529510607015,1399062,8.04173499946356,101,50
"mgm4549334",2338734,14136,0.496310145341545,99.5498726655348,1407237,7.04161086515921,101,50
"mgm4549335",6359589,38618,0.518082382081963,98.7920140866953,3815150,6.74857113672867,101,50
"mgm4549336",3168371,19096,0.495244686492732,100.030320485966,1910179,5.51536059238194,101,50
"mgm4549337",4117186,25068,0.507733017720375,98.3511648316579,2465467,6.92682313035753,101,50
"mgm4549338",3059870,18504,0.523574694529867,99.4839494163424,1840851,7.087701993196,101,50
"mgm4549339",4316013,26250,0.538649376959687,98.5337142857143,2586510,7.30187774490297,101,50
"mgm4549340",1976781,11905,0.487555511562008,100.133893322134,1192094,5.46669105798877,101,50
"mgm4549341",2661335,16242,0.505437683039747,97.9462504617658,1590843,7.98742140710128,101,50
"mgm4549342",1003209,6073,0.531741608444966,99.2702124156101,602868,6.93466566124323,101,50
"mgm4549343",1374396,8341,0.544575939993717,98.8427047116653,824447,6.36064972178887,101,50
"mgm4549344",2059525,12445,0.541149578866429,99.5896343913218,1239393,7.19205418700328,101,50
"mgm4549345",2796876,17043,0.559385995677759,98.202722525377,1673669,7.93123597743086,101,50
"mgm4549346",2826028,17041,0.526731327884284,99.9311660113843,1702927,6.17959937231202,101,50
"mgm4549347",3835377,23406,0.538739104170347,97.9550115355037,2292735,7.43892352849407,101,50
"mgm4549358",2224347,13420,0.513120718970486,99.877868852459,1340361,6.62920686864511,101,50
"mgm4549359",4490668,27173,0.550607737179682,99.3881426415928,2700674,5.41838032165473,101,50
"mgm4549360",4218666,25506,0.48079096200426,99.8875950756685,2547733,6.65984687985293,101,50
"mgm4549361",2896129,17491,0.525905694361376,99.7017323194786,1743883,4.94901615056706,101,50
"mgm4549362",1840454,11169,0.512322913591071,98.8559405497359,1104122,7.35371638105094,101,50
"mgm4549363",2370309,14404,0.525510922292513,98.6367675645654,1420764,6.50952779293637,101,50
"mgm4549364",1873591,11267,0.502861149995711,100.367355995385,1130839,4.91991345735063,101,50
"mgm4549382",41104522,248343,0.546161089863944,100.038394478604,24843835,6.14247620820748,101,50
"mgm4549383",81469871,492893,0.58224437291649,99.8012448949366,49191335,5.06358676264627,101,50
"mgm4549386",4370776,26293,0.493570648575157,100.341954132279,2638291,4.90650782655958,101,50
"mgm4549387",4768901,28879,0.512520855296609,99.2270854253956,2865579,5.53320619394404,101,50
"mgm4549388",1236716,7515,0.524099888164755,98.6385894876913,741269,7.89242113593756,101,50
"mgm4549389",1499754,9112,0.538940227759923,98.6533143107989,898929,7.24544451250143,101,50
"mgm4549390",861283,5179,0.499121826600671,100.372465726974,519829,5.03710451638954,101,50
"mgm4549391",1562600,9471,0.527331607874573,99.0505754408193,938108,5.76613290957622,101,52
"mgm4549392",2800046,16860,0.480815583474183,100.15172004745,1688558,4.91118115355794,101,50
"mgm4549393",3382106,20581,0.488168430947666,98.4146057042904,2025471,6.68188487403772,101,50
"mgm4549394",763371,4602,0.4926278894303,99.9367666232073,459909,5.73015388707082,101,50
"mgm4549395",941998,5746,0.501384259399024,98.0015663069962,563117,7.20223285880196,101,52
"mgm4549396",3163788,19074,0.476157311137322,99.9669183181294,1906769,5.39511701082689,101,50
"mgm4549397",3897854,23671,0.483144880375571,98.7699716953234,2337984,6.3257975705244,101,50
"mgm4549398",689560,4156,0.503889290012034,99.9759384023099,415500,5.82209139052684,101,50
"mgm4549399",873897,5328,0.515223423595828,98.0762012012012,522550,7.13358059769525,101,52
"mgm4549400",1554989,9401,0.51771928849123,99.4843101797681,935252,7.02321691289144,101,50
"mgm4549401",1830759,11155,0.528839666626801,98.1935454952936,1095349,7.96798625230224,101,50
"mgm4549410",10328365,62272,0.495292176858831,100.37161163926,6250341,4.86370034005588,101,50
"mgm4549411",17501571,106218,0.521251553835247,99.2757912971436,10544876,6.03467438655845,101,50
"mgm4549414",1656381,10025,0.540004640664881,99.306433915212,995547,7.68877982591478,101,50
"mgm4549415",2228669,13558,0.55485140564054,98.4616462605104,1334943,6.92635206758052,101,50
"mgm4551388",12682242,35725,0.48627832060597,298.998180545836,10681710,76.3654011250452,494,51
"mgm4551389",14284461,39921,0.523482645780093,301.439317652363,12033759,71.7414437441577,494,52
"mgm4559916",50718902,188071,0.493035871957938,225.4727097745,42404878,44.2162747993292,252,83
"mgm4559917",98677877,363867,0.513662752128091,223.851025237243,81452001,44.7167211284424,252,81
"mgm4559919",91081378,257738,0.521628273378958,304.961786775718,78600241,104.960299060214,452,75
"mgm4559927",75439242,275052,0.391535813961547,227.034738885738,62446359,42.4529584533924,252,84
"mgm4628877",284568363,1409335,0.470390162762346,154.356092057602,217539443,27.1121592264744,194,50
"mgm4628878",272553058,1333212,0.464693328216322,156.824548533917,209080370,26.9937157346886,194,50
"mgm4628879",415514084,2091070,0.46619444704669,151.2048185857,316179860,27.7229211731682,194,50
"mgm4628880",357452095,1752605,0.496307889722397,156.358454985579,274034610,27.0229074759274,194,50
"mgm4628881",244288534,1201772,0.476215479616622,155.686829947777,187100073,27.483239463303,194,50
"mgm4679712",2117112813,12939418,0.575277621984748,118.970760276853,1539412397,49.0487908387995,293,50
"mgm4679713",2883047340,16972537,0.527241476544023,117.246237613151,1989966106,48.7215198712633,293,50
"mgm4679715",855338959,4915781,0.544271487281653,121.313282060368,596349527,52.8085365499563,293,50
"mgm4679716",2178851734,12742934,0.566111035641279,118.347999840539,1508100751,48.8873050882968,293,50
"mgm4679721",2730071090,15915008,0.559165575124358,118.893219657822,1892186542,49.2358159740261,293,50
"mgm4688575",1410000721,9214466,0.559826175356607,105.671615262349,973707506,20.6297943392645,191,50
"mgm4688577",2356127367,15364074,0.549097161765121,106.010829158985,1628758224,21.3259015331631,191,50
"mgm4688578",1365082192,9032444,0.566204370509729,103.749060719336,937107581,18.2292578515277,191,50
"mgm4688579",1338390524,8870404,0.535288232076784,103.492455586014,918019892,18.1354923353348,191,50
"mgm4688580",2312763282,15245011,0.563143651193776,104.324304849632,1590425175,19.1223357289484,191,50
"mgm4688582",2674718013,17730778,0.5626084708458,103.456219236403,1834359256,17.8357352466522,191,50
"mgm4688584",2499597586,16661703,0.603022766809811,102.617793631299,1709787200,17.1007768742718,191,50
"mgm4688585",2673343765,17667156,0.57174722126429,103.937543088429,1836280788,18.460235084202,191,50
"mgm4688586",389793851,2555917,0.549626507270536,105.203407622391,268891178,19.4703179686389,191,50
"mgm4698585",3020624417,15899594,0.555948613322514,121.282144311358,1928336854,52.229040565197,293,50
"mgm4698586",3346113111,16605866,0.645496558897025,147.364181669297,2447109854,51.5504541283089,293,50
"mgm4698587",6589021879,32771114,0.613004463942222,146.930467209629,4815075091,50.7145255022085,293,50
"mgm4698588",4863953902,24389061,0.608747042009301,130.582682252507,3184789003,52.7057421356868,293,50
"mgm4698589",3529692548,19643359,0.635734291840133,125.908017513705,2473256389,53.2658142073055,293,50
"mgm4698590",2766054423,14413272,0.650799647649529,137.928207904492,1987996777,52.9805732631784,293,50
"mgm4698591",2868604844,14875524,0.650313623430503,124.094249721892,1845966990,52.4111864711514,293,50
"mgm4698592",2388152611,12638090,0.619881955329992,120.28130025977,1520125898,51.5546855849476,293,50
"mgm4698593",4064151943,21379403,0.574755642852859,121.39500214295,2595352673,51.6111560551989,293,50
"mgm4698594",5240807901,27071820,0.611728115507965,124.829945345381,3379373811,51.6593125684908,293,50
"mgm4698595",2276746124,12415652,0.639074164128903,129.537111381666,1608287696,54.6917062911454,293,50
"mgm4702046",2689442575,12961448,0.669992670337128,138.513456212608,1795334960,52.0018834955549,293,50
"mgm4702047",5073696890,26637136,0.612649162812846,121.764735705821,3243463825,51.236537228458,293,50
"mgm4702048",2685939262,13426917,0.64417479413132,131.176607183913,1761297417,52.5646166804668,293,50
"mgm4702049",4961700529,27339406,0.628393264540155,127.673022742338,3490504604,50.2492231294524,293,50
"mgm4702050",3282026370,16332603,0.605507406761587,146.820868112695,2397966951,54.276808482457,293,50
"mgm4702051",5235354485,28186888,0.572451145455821,117.10584698105,3300849393,50.5080340535887,293,50
"mgm4709411",371410581,1893442,0.568915054649825,149.355349147214,282795691,41.7303898981394,294,50
"mgm4709413",2568227883,12614896,0.473651482807632,156.778470706378,1977744103,43.4420845689001,294,50
"mgm4709414",1966063750,9634272,0.474955220899293,157.270207546559,1515183957,43.4705873515981,294,50
"mgm4709415",1646250426,8516157,0.551750110522194,146.532810163082,1247896417,42.8720605757259,294,50
"mgm4709423",210391092,1082354,0.540959466861489,147.616735374933,159773564,40.714295661988,294,50
"mgm4709426",848548771,4299259,0.548319573263607,150.636054724779,647623414,46.3615750103322,294,50
"mgm4709427",1454902776,7148709,0.525337740804362,156.763996548188,1120660193,46.006999831999,294,50
"mgm4709430",2335343528,11518569,0.471662932063769,155.937524444226,1796177135,42.5795687979865,294,50
"mgm4709432",1692239293,8680274,0.564569120634469,148.186914606613,1286303022,43.2196071809012,294,50
"mgm4709433",2163525655,11092364,0.536754496703885,148.279154290285,1644766353,43.1630684271597,294,50
"mgm4709436",1361633613,6761244,0.474723587280228,154.619590122764,1045420776,46.1384994605798,294,50
"mgm4709439",2449792090,12197707,0.542935914693195,154.079875914383,1879421181,45.4947802040677,294,50
"mgm4709441",1491135381,7376883,0.520966240224851,155.397566560294,1146349667,46.3627856263462,294,50
"mgm4709442",1625651109,8106582,0.48368067828971,153.775529193438,1246593937,45.967796464056,294,50
"mgm4709457",1337476586,6818445,0.549724634442196,149.389961640814,1018607237,44.1420313427033,294,50
"mgm4709842",199158200,1024861,0.560467578401207,147.561387349114,151229911,42.3478380051984,294,50
"mgm4470906",132661866,378378,0.478071390880613,328.639910354196,124350112,96.4109342400521,606,100
"mgm4508805",9977152,54474,0.558040368444549,127.678984469655,6955185,28.854078073442,151,50
"mgm4508831",8683502,21087,0.507507974694526,341.098876084792,7192752,80.1158769585043,640,198
"mgm4528142",72360228,226863,0.501061235855245,260.436796657013,59083473,8.96725831620461,494,92
"mgm4528143",3332213,8272,0.532914550935643,337.974371373308,2795724,55.7995402419838,492,251
"mgm4528144",64696649,202506,0.481281954448927,260.956914856844,52845341,10.4148527154096,489,121
"mgm4528145",1726740,5409,0.470678867777768,260.501386577926,1409052,9.22863433471394,440,181
"mgm4528146",199115389,609641,0.504045259978986,268.081949868857,163433748,11.5140862605762,492,70
"mgm4528147",227757287,677838,0.471466002947295,277.412771193117,188040918,16.2638811369885,494,81
"mgm4549767",2473183,6900,0.55823407907566,299.808260869565,2068677,0.443001319378285,300,294
"mgm4550960",122048783,333235,0.550931327468042,307.37432142482,102427882,42.9307316576402,492,251
"mgm4551686",2036886,5689,0.508688833621113,299.600808577957,1704429,1.15290423994639,300,285
"mgm4551687",19776797,55245,0.533800671142075,299.720228074939,16558044,0.718874527165183,300,280
"mgm4563797",20449302,66209,0.582167953682526,250.111389690223,16559625,1.7631856299713,251,233
"mgm4569432",4014370,10447,0.498159632112789,328.715995022494,3434096,49.3561246924928,563,289
"mgm4569433",14466970,37730,0.504866369125161,328.27254174397,12385723,51.8726044884781,586,284
"mgm4589537",411816365,2014518,0.553291651860566,156.85929438208,315995872,27.26453625985,194,50
"mgm4589538",510966661,2457693,0.572336013588485,160.280629435816,393920581,27.1774694491349,194,50
"mgm4589539",337961041,1648712,0.555774663826571,157.410242055617,259524155,27.4309781896586,194,50
"mgm4589540",372390146,1804792,0.563523109400185,158.737505485397,286488180,26.867287738679,194,50
"mgm4589541",321100986,1553590,0.573540789966689,159.081210615413,247146978,26.8761261300261,194,50
