"samples","total_number_of_reads","file_size","GC_content","total_number_of_bases","complete_sequence_size","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","seq_meth"
"SRR6051345",23104801653,134842727,"0.4318056154354473",19890689947,19890689947,14751029135594388,151,151,50,151,"illumina"
"SRR6051694",20236502576,117908656,"0.42725579049131934",17428829340,17428829340,14781636846068366,151,1510,50,151,"illumina"
"SRR6051698",20250677341,118116120,"0.4268433805719802",17437962873,17437962873,14763406445284522,151,1510,50,151,"illumina"
"SRR6240743",13086262523,76177913,"0.4063988009316961",11279377460,11279377460,14806624408311106,151,151,50,151,"illumina"
"SRR6240745",12751875531,74258396,"0.4235737639296616",10991168749,10991168749,14801247186917422,151,1510,50,151,"illumina"
"SRR6240752",15415772188,92702432,"0.42049025287550795",13212653599,13212653599,14252758330007998,151,1500,50,151,"illumina"
"SRR6240782",13188380351,76534684,"0.38660713281396597",11373215450,11373215450,14860210894710168,151,1510,50,151,"illumina"
"SRR6240785",15209551527,92101879,"0.4200563610609418",13020296065,13020296065,14136840861846042,151,150,50,151,"illumina"
"SRR7193715",11830760572,69023013,"0.6076629136120335",10194164329,10194164329,14769225343727028,151,150,50,151,"illumina"
"mgm4440026",682415,6029,"0.4134174836894",502434,502434,833362083264223,70,82,50,152,"454"
"mgm4440036",12943841,93530,"0.3828880007669716",10149007,10149007,10851071314016892,106,1090,50,296,"454"
"mgm4440037",25050521,184554,"0.4831636822825267",19439019,19439019,10532970837803568,110,1070,50,283,"454"
"mgm4440038",39834224,281947,"0.3389614701290311",31204880,31204880,11067640372126676,109,111,50,290,"454"
"mgm4440039",46853171,343295,"0.4595637666212876",36320742,36320742,10580038159600344,105,106,50,251,"454"
"mgm4440040",48203631,356703,"0.36968280786846147",37256788,37256788,10444764411849634,106,106,50,224,"454"
"mgm4440041",30057660,222180,"0.4681020145151068",23279746,23279746,10477876496534340,102,1030,50,361,"454"
"mgm4440051",8411660,62969,"0.41921749890903787",6471352,6471352,10277044259873908,105,104,50,242,"454"
"mgm4440055",6366571,49562,"0.5714496329367635",4890438,4890438,9867313667729308,98,990,50,183,"454"
"mgm4440056",7495590,58229,"0.559915103240474",5759466,5759466,989106115509454,99,99,50,179,"454"
"mgm4440059",8365171,64667,"0.5383838752655927",6436075,6436075,9952641996690738,100,100,50,203,"454"
"mgm4440064",7460466,58095,"0.5299857133580103",5728428,5728428,9860449264136328,99,99,50,197,"454"
"mgm4440065",7676708,59611,"0.4847148632895501",5899293,5899293,9896316116153060,100,100,50,161,"454"
"mgm4440066",10511828,80892,"0.5252060800866798",8096003,8096003,10008409978737082,101,1010,50,199,"454"
"mgm4440090",14330024,109908,"0.4339432093515531",11033718,11033718,10039049022819086,105,1030,50,227,"454"
"mgm4440212",53564294,208066,"0.3990362546478757",47225338,47225338,22697287399190644,249,2470,50,446,"454"
"mgm4440213",34988459,134198,"0.40239665912094874",30939402,30939402,23055039568398932,255,2500,50,370,"454"
"mgm4440275",69656874,341622,"0.3797496745648351",59177686,59177686,17322562949692934,253,1720,50,367,"454"
"mgm4440276",77331596,302264,"0.4130676340900392",68072506,68072506,2252087777571924,253,2460,50,408,"454"
"mgm4440370",4646393,35184,"0.4290874624471428",3601923,3601923,10237389154160982,101,1030,50,211,"454"
"mgm4440371",6252091,46108,"0.43590391556591523",4879167,4879167,10582039993059772,105,1060,50,339,"454"
"mgm4440374",5124999,38375,"0.4696425183428816",3984652,3984652,10383457980456026,104,105,50,199,"454"
"mgm4440375",5382755,37492,"0.4897652684662415",4268749,4268749,11385759628720794,104,1120,50,202,"454"
"mgm4440376",4882535,37075,"0.4283773311433612",3780870,3780870,1019789615643965,103,103,50,206,"454"
"mgm4440377",4612902,33636,"0.4566125802229686",3614769,3614769,10746726721369960,104,1070,50,217,"454"
"mgm4440380",7517765,51584,"0.48061738788046493",5981005,5981005,11594690214019852,105,1150,50,223,"454"
"mgm4440419",4755720,35358,"0.6133466987400451",3706085,3706085,1048160246620284,108,1060,50,193,"454"
"mgm4440420",8363493,62504,"0.4318248117232835",6499476,6499476,1039849609624984,105,1050,50,188,"454"
"mgm4440421",19947913,153095,"0.5303393072404522",15312759,15312759,1000212874359058,102,102,50,160,"454"
"mgm4440425",15466332,120480,"0.613655489610585",11842534,11842534,9829460491367864,100,1000,50,187,"454"
"mgm4440426",4365586,33234,"0.42562634101796487",3379429,3379429,10168589396401276,102,1020,50,248,"454"
"mgm4440428",7429022,57870,"0.46461612256139656",5703982,5703982,9856543977881458,104,1010,50,222,"454"
"mgm4440429",5149242,39074,"0.6329696285848613",3988125,3988125,10206595178379484,107,1040,50,188,"454"
"mgm4440430",10264865,77949,"0.6359525039370079",7937500,7937500,10182940127519276,104,103,50,210,"454"
"mgm4440432",14786067,109958,"0.4104461768672263",11488471,11488471,10448053802360900,104,1050,50,239,"454"
"mgm4440433",16171987,122247,"0.6380000763602144",12493417,12493417,10219814801181216,106,104,50,241,"454"
"mgm4440434",2996835,23128,"0.6112065165723175",2314100,2314100,10005620892424768,100,1010,50,170,"454"
"mgm4440435",5034266,38652,"0.5559064905386522",3885810,3885810,10053321949705060,102,1020,50,223,"454"
"mgm4440436",36088009,266931,"0.4642261065885181",27924246,27924246,10461222563134294,105,105,50,456,"454"
"mgm4440437",32769333,261104,"0.5491720070609845",24785779,24785779,9492684524174276,101,990,50,283,"454"
"mgm4440438",44686317,335955,"0.6395647323408642",34382798,34382798,10234346266613088,105,104,50,235,"454"
"mgm4440441",1312438,11571,"0.4077009255303412",966689,966689,8354411891798462,70,82,50,152,"454"
"mgm4440939",34575313,25195,"0.4837875615922263",33830568,33830568,13427492756499304,947,1081,92,16490,"sanger"
"mgm4440940",19926737,12410,"0.5155232849913749",19565543,19565543,15765949234488316,969,9890,65,18617,"sanger"
"mgm4440941",37914500,30080,"0.5110482868501447",37023206,37023206,12308246675531916,956,10650,98,16076,"sanger"
"mgm4440942",41237809,30905,"0.5334193348639046",40321763,40321763,13047003073936256,1108,1116,103,12316,"sanger"
"mgm4440943",35893404,25936,"0.5065854404552607",35126428,35126428,13543502467612584,977,10870,78,16833,"sanger"
"mgm4440944",30805837,22778,"0.5013807181446727",30133594,30133594,13229253665817894,1082,10860,85,17639,"sanger"
"mgm4440945",13437030,8849,"0.5569797889711623",13181516,13181516,1489605153124647,888,961,97,25762,"sanger"
"mgm4440946",23500095,14881,"0.4470376896763377",23064751,23064751,15499463073718164,1107,1070,79,21267,"sanger"
"mgm4440947",40602143,29810,"0.4834093029558236",39718946,39718946,13324034216705804,969,10800,83,16773,"sanger"
"mgm4440948",37479069,28390,"0.4818076566148531",36638463,36638463,1290541141246918,1064,10510,88,18571,"sanger"
"mgm4440949",21985761,12748,"0.5001979468765825",21614385,21614385,16955118449952934,1077,10750,74,19264,"sanger"
"mgm4440950",17791630,12146,"0.5369264740322999",17438356,17438356,14357283056150172,1039,10630,63,21374,"sanger"
"mgm4440984",20123667,76060,"0.5476734324464706",17852931,17852931,2347216802524323,243,2420,50,423,"454"
"mgm4441020",30696509,114861,"0.5556240281241319",27246921,27246921,23721647034241388,244,244,50,337,"454"
"mgm4441021",33723215,127439,"0.5347487519279747",29883692,29883692,23449408736728944,244,242,50,367,"454"
"mgm4441022",32537204,122815,"0.5626869472197732",28841028,28841028,23483310670520704,241,242,50,333,"454"
"mgm4441092",34673329,34060,"0.5718102875784976",33662635,33662635,9883333822665884,976,9770,168,1464,"sanger"
"mgm4441093",57487238,58485,"0.6132653590065305",55743791,55743791,9531297084722578,1028,990,211,1378,"sanger"
"mgm4441102",70967205,85367,"0.3847818337517777",68417297,68417297,8014490025419659,691,759,110,2994,"sanger"
"mgm4441205",136042434,495641,"0.6301280152630399",120787472,120787472,24369951638383424,241,246,50,12888,"454"
"mgm4441363",99718313,425549,"0.4265359021403932",86637258,86637258,20358938218630520,257,232,50,390,"454"
"mgm4441570",675844943,642321,"0.5238563963846723",656044096,656044096,10213648565125536,1032,1023,335,2048,"sanger"
"mgm4441571",675844943,642321,"0.5238563963846723",656044096,656044096,10213648565125536,1032,1023,335,2048,"sanger"
"mgm4441573",330455919,316901,"0.36050343810411023",320742905,320742905,10121233602923312,993,1007,413,2048,"sanger"
"mgm4441574",382849716,368680,"0.37282104380881353",371531678,371531678,10077348323749592,1008,10070,518,2048,"sanger"
"mgm4441663",70968357,85369,"0.38478352092178725",68418390,68418390,8014430296711921,691,759,110,2994,"sanger"
"mgm4441695",6366571,49562,"0.5714496329367635",4890438,4890438,9867313667729308,98,990,50,183,"454"
"mgm4441696",7495590,58229,"0.559915103240474",5759466,5759466,989106115509454,99,99,50,179,"454"
"mgm4441834",65305332,240459,"0.47052865181375086",57962177,57962177,24104806640633124,256,255,50,407,"454"
"mgm4441835",53217014,189821,"0.43951747893590565",47443649,47443649,24993888452805536,272,263,50,515,"454"
"mgm4442086",78782952,283329,"0.44903274833097057",70110657,70110657,24745316222483400,266,263,50,404,"454"
"mgm4442466",90056868,344825,"0.56618586069385",79478214,79478214,23048854926411948,244,245,50,366,"454"
"mgm4442467",8171959,22486,"0.5532779363689613",7508474,7508474,33391772658543096,241,2390,95,12866,"454"
"mgm4442643",40723433,97100,"0.4236132821258238",37821536,37821536,389511184346035,498,4500,50,665,"454"
"mgm4442652",48224847,176631,"0.4436378642382047",42860379,42860379,24265490768891080,52,166,50,666,"454"
"mgm4442653",42051426,118275,"0.49531936950626204",38495989,38495989,325478664130205,488,403,50,624,"454"
"mgm4443316",39712787,152150,"0.4060834134784921",35107132,35107132,23074026947091688,258,2510,50,381,"454"
"mgm4443317",68263617,363355,"0.49722049233911103",57110474,57110474,15717541797966176,256,150,50,365,"454"
"mgm4443776",90425468,340959,"0.47687279567111346",79966799,79966799,2345349411512821,253,248,50,363,"454"
"mgm4443777",101152033,372574,"0.46833274893464233",89713297,89713297,24079323033813416,254,2520,50,355,"454"
"mgm4444195",48676238,206257,"0.45690756972705526",42391436,42391436,20552725968088360,274,219,50,395,"454"
"mgm4444196",59404122,235367,"0.5510712520541888",52214649,52214649,22184354221279960,270,254,50,466,"454"
"mgm4445728",40416799,90534,"0.5133349552825938",37711825,37711825,4165487551638059,490,4540,100,902,"454"
"mgm4445729",63326402,144327,"0.5247384660241741",58963276,58963276,4085394693993501,469,447,100,644,"454"
"mgm4445730",119586045,351667,"0.5031024335125489",108792823,108792823,30936318448987252,387,313,100,661,"454"
"mgm4445731",32639842,73070,"0.4422032379890464",30458843,30458843,4168447105515259,501,4510,100,1666,"454"
"mgm4445734",59110441,179160,"0.49592046241991866",53645786,53645786,29942948202723824,331,3010,100,595,"454"
"mgm4445735",192140012,560395,"0.44045760447387805",174871105,174871105,3120497238554948,316,315,100,1242,"454"
"mgm4445736",44997621,145676,"0.47090324369459524",40592755,40592755,2786509445619045,242,2740,100,609,"454"
"mgm4445737",34117445,104420,"0.49168205055313247",30983718,30983718,29672206473855584,339,2980,100,1080,"454"
"mgm4446075",72759022,179311,"0.4836965146484753",67311374,67311374,37538898338640688,463,406,100,790,"454"
"mgm4446120",57099124,126452,"0.4216882879930158",53290209,53290209,421426383133521,502,4560,100,2017,"454"
"mgm4446121",48708819,109207,"0.40657529913540935",45423576,45423576,4159401503566621,498,452,100,645,"454"
"mgm4446122",34282425,79090,"0.4987354014476203",31920802,31920802,4036009862182324,491,4430,100,642,"454"
"mgm4446124",31498480,73267,"0.4930826398323691",29311543,29311543,40006473582922736,488,439,100,640,"454"
"mgm4446125",29071206,71828,"0.5191460806900983",26926947,26926947,3748809238736983,468,4120,100,625,"454"
"mgm4446126",47692335,111548,"0.5630392727717666",44345253,44345253,39754413346720696,465,4480,100,759,"454"
"mgm4446341",21153095,56773,"0.5407519959138811",19461010,19461010,342786359713244,479,364,50,628,"454"
"mgm4446342",26087145,70863,"0.5319701301010776",23972361,23972361,33829164726302864,490,356,50,603,"454"
"mgm4446406",23856992,68512,"0.452953398689041",21812734,21812734,3183782986921999,381,3330,50,613,"454"
"mgm4446411",16218997,46805,"0.44639328701410114",14825951,14825951,316759982907809,364,328,50,738,"454"
"mgm4446412",7505108,20648,"0.5231238518694238",6896537,6896537,3340050852382797,483,3510,50,635,"454"
"mgm4446437",7314787,26039,"0.40369427569093863",6544720,6544720,25134298552171744,241,225,93,5112,"454"
"mgm4447101",138431458,291400,"0.46186757539475576",129509074,129509074,4444374536719286,502,4850,50,861,"454"
"mgm4447102",74867241,160712,"0.4913115267650962",69959472,69959472,43530957240280752,496,4800,50,1137,"454"
"mgm4447103",217269378,458589,"0.4353249833885545",203164138,203164138,4430200855232027,505,484,50,878,"454"
"mgm4447192",83343238,201054,"0.4750540061646481",77221277,77221277,38408227142956616,414,4150,50,602,"454"
"mgm4447446",27653334,60704,"0.48093159476423325",25843168,25843168,4257243015287296,498,4660,50,615,"454"
"mgm4447447",36118901,79673,"0.44861779425931725",33739297,33739297,4234721549332898,492,462,50,802,"454"
"mgm4447448",26139536,57507,"0.47031129725812776",24424661,24424661,42472500739040464,487,465,50,629,"454"
"mgm4447449",32936552,73026,"0.45903771144023353",30756741,30756741,42117521156848240,499,4610,50,747,"454"
"mgm4447454",23838231,53298,"0.47198965172133034",22249884,22249884,4174618935044467,495,4590,50,634,"454"
"mgm4447455",31807854,70193,"0.4585412098700513",29712348,29712348,4232950294188879,491,465,50,647,"454"
"mgm4447456",28635482,63072,"0.46931775210733817",26754249,26754249,4241858352359209,494,4640,50,613,"454"
"mgm4447457",12110690,26674,"0.479867869492284",11321231,11321231,4244294444027892,496,4670,50,625,"454"
"mgm4447483",79652066,166721,"0.5106759169008263",74594436,74594436,4474207568332724,495,486,100,666,"454"
"mgm4447551",57073646,125159,"0.4958982437800532",53303631,53303631,4258873193298125,498,476,100,657,"454"
"mgm4447810",288788703,1094449,"0.5949796012036821",254873617,254873617,23287847766318940,250,245,60,6136,"454"
"mgm4447811",271506879,1024182,"0.5938811163422679",239839239,239839239,2341763856423956,248,2430,60,38489,"454"
"mgm4447862",62874550,148164,"0.4737594048893993",58391835,58391835,39410271725925328,488,4300,100,642,"454"
"mgm4447903",131797758,300604,"0.47003433370028264",122590049,122590049,40781243429894480,495,4510,50,1116,"454"
"mgm4447943",151863421,333415,"0.4524957907829841",141638575,141638575,42481164614669408,495,472,50,1080,"454"
"mgm4447970",29141918,65421,"0.5595462282857714",27190236,27190236,4156193882698216,507,472,50,1049,"454"
"mgm4447971",39858162,92869,"0.48656397569728854",37083105,37083105,39930552714038056,487,443,50,1062,"454"
"mgm4448187",83456640,226398,"0.3870629100767593",76547864,76547864,33811192678380556,370,3520,50,664,"454"
"mgm4448427",4047637,10797,"0.4391404919377274",3734741,3734741,34590543669537836,508,358,100,623,"454"
"mgm4449103",295161434,660270,"0.42839255182041025",274803739,274803739,41619903827222200,510,4690,50,741,"454"
"mgm4449104",284560250,627174,"0.39132945235866545",265228391,265228391,4228944296160236,503,4660,50,821,"454"
"mgm4449249",25363999,59179,"0.6249761649835684",23599732,23599732,3987855827236013,486,438,50,590,"454"
"mgm4449252",39302525,91373,"0.6130019675474703",36572434,36572434,400254276427391,475,440,50,625,"454"
"mgm4449255",34555950,79484,"0.6286757202726349",32182536,32182536,4048932615369131,489,4460,50,622,"454"
"mgm4449256",38057853,86606,"0.628149504590779",35470777,35470777,40956489157795072,484,4510,50,615,"454"
"mgm4449258",28280238,65014,"0.6227768243817111",26340924,26340924,40515771987571912,480,4470,50,596,"454"
"mgm4449259",19469811,64452,"0.4349787611816735",17547351,17547351,27225456153416496,51,2440,50,620,"454"
"mgm4449268",13199923,40599,"0.43664702639296576",11993044,11993044,2954024483361659,55,308,50,638,"454"
"mgm4449284",33112196,76232,"0.6331142379200227",30836337,30836337,40450646710043032,477,4450,50,612,"454"
"mgm4449356",17880571,48551,"0.6283367224130735",16435140,16435140,3385129039566641,355,357,50,579,"454"
"mgm4449357",27626184,63698,"0.631603609778085",25726346,25726346,40387996483406072,486,4440,50,606,"454"
"mgm4449358",33580965,89603,"0.6267386677533876",30903978,30903978,3448989207950627,368,364,50,611,"454"
"mgm4449359",23098970,61307,"0.630657342733615",21270852,21270852,34695633451318776,473,367,50,600,"454"
"mgm4449360",31777554,83472,"0.6355681579031031",29284491,29284491,3508301106958022,455,3720,50,622,"454"
"mgm4449362",32957118,86673,"0.623090886651038",30368024,30368024,3503746726200778,473,372,50,594,"454"
"mgm4449363",25774473,68349,"0.6256698147600515",23735107,23735107,3472634127785337,418,368,50,613,"454"
"mgm4449364",24843843,64590,"0.6322829701141677",22917247,22917247,3548110698250503,472,3770,50,626,"454"
"mgm4449365",14841244,38751,"0.6242896635199234",13689815,13689815,35327643157595932,452,375,50,589,"454"
"mgm4449589",270274788,442403,"0.451191043169942",256671343,256671343,580175412463297,543,565,50,1200,"454"
"mgm4449685",202596635,562967,"0.4220681387868082",185254898,185254898,3290688406247613,378,344,50,687,"454"
"mgm4449877",36544120,83725,"0.626330633187748",34043473,34043473,4066106061510899,482,448,50,589,"454"
"mgm4449956",425129525,1021284,"0.5833301961031434",393553100,393553100,3853512832865295,483,4160,60,2870,"454"
"mgm4450123",47120606,108119,"0.6170928731822108",43880019,43880019,40584928643439168,405,413,150,591,"454"
"mgm4450124",38951832,89227,"0.6232017645972037",36286128,36286128,40667206114741056,418,414,150,644,"454"
"mgm4450125",44910450,103229,"0.6208406609166957",41821428,41821428,40513254996173560,414,413,150,630,"454"
"mgm4450126",44414303,101662,"0.6135422863963584",41373885,41373885,4069749267179477,399,4130,150,590,"454"
"mgm4450127",60268741,136499,"0.5919097595142926",56148368,56148368,4113463688378669,415,418,151,629,"454"
"mgm4450130",318963922,723582,"0.6320228144499409",296643926,296643926,40996587256178288,491,4460,50,951,"454"
"mgm4450131",296876926,661949,"0.6410342201387611",276467523,276467523,41765683307928560,496,468,50,850,"454"
"mgm4450171",307833729,708939,"0.6075069430407795",285967642,285967642,4033741154034409,492,437,50,964,"454"
"mgm4450172",331058994,753075,"0.6115288688545448",307824735,307824735,40875707598844736,492,443,50,1022,"454"
"mgm4450328",899611433,2208943,"0.5832996530944126",830034195,830034195,37576080279119920,496,400,60,16773,"454"
"mgm4450628",263050742,580667,"0.6199568775861893",245161137,245161137,4222060785269354,499,471,50,1068,"454"
"mgm4450629",295567205,651889,"0.6263018844590115",275469722,275469722,4225715144756239,497,469,50,927,"454"
