"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_meth","project_id"
"mgm4520349","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06277,-72.45041,"gilbert","illumina","mgp4184"
"mgm4520350","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06272,-75.45012,"gilbert","illumina","mgp4184"
"mgm4520351","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06272,-75.45012,"gilbert","illumina","mgp4184"
"mgm4520352","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01039,-72.53075,"gilbert","illumina","mgp4184"
"mgm4520353","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01039,-72.53075,"gilbert","illumina","mgp4184"
"mgm4520354","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.015,-72.52847,"gilbert","illumina","mgp4184"
"mgm4520355","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.015,-72.52847,"gilbert","illumina","mgp4184"
"mgm4520356","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00938,-72.49426,"gilbert","illumina","mgp4184"
"mgm4520357","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00938,-72.49426,"gilbert","illumina","mgp4184"
"mgm4520358","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00933,-72.49417,"gilbert","illumina","mgp4184"
"mgm4520359","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00933,-72.49417,"gilbert","illumina","mgp4184"
"mgm4520360","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01444,-72.52846,"gilbert","illumina","mgp4184"
"mgm4520361","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01444,-72.52846,"gilbert","illumina","mgp4184"
"mgm4520362","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01504,-72.52851,"gilbert","illumina","mgp4184"
"mgm4520363","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01504,-72.52851,"gilbert","illumina","mgp4184"
"mgm4520364","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00936,-72.49427,"gilbert","illumina","mgp4184"
"mgm4520365","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00936,-72.49427,"gilbert","illumina","mgp4184"
"mgm4520366","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02556,-72.46173,"gilbert","illumina","mgp4184"
"mgm4520368","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01508,-72.52867,"gilbert","illumina","mgp4184"
"mgm4520369","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01508,-72.52867,"gilbert","illumina","mgp4184"
"mgm4520370","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06267,-75.45014,"gilbert","illumina","mgp4184"
"mgm4520371","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06267,-75.45014,"gilbert","illumina","mgp4184"
"mgm4520372","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02536,-72.4617,"gilbert","illumina","mgp4184"
"mgm4520373","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02536,-72.4617,"gilbert","illumina","mgp4184"
"mgm4520374","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00942,-72.49433,"gilbert","illumina","mgp4184"
"mgm4520375","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00942,-72.49433,"gilbert","illumina","mgp4184"
"mgm4520376","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01512,-72.5286,"gilbert","illumina","mgp4184"
"mgm4520377","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01512,-72.5286,"gilbert","illumina","mgp4184"
"mgm4520378","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01504,-72.52848,"gilbert","illumina","mgp4184"
"mgm4520379","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01504,-72.52848,"gilbert","illumina","mgp4184"
"mgm4520380","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01446,-72.52847,"gilbert","illumina","mgp4184"
"mgm4520381","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01446,-72.52847,"gilbert","illumina","mgp4184"
"mgm4520382","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.0254,-72.46171,"gilbert","illumina","mgp4184"
"mgm4520384","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01434,-72.52871,"gilbert","illumina","mgp4184"
"mgm4520385","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01434,-72.52871,"gilbert","illumina","mgp4184"
"mgm4520386","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01441,-72.52852,"gilbert","illumina","mgp4184"
"mgm4520387","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01441,-72.52852,"gilbert","illumina","mgp4184"
"mgm4520388","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00945,-72.4943,"gilbert","illumina","mgp4184"
"mgm4520389","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00945,-72.4943,"gilbert","illumina","mgp4184"
"mgm4520390","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01444,-72.5284,"gilbert","illumina","mgp4184"
"mgm4520391","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01444,-72.5284,"gilbert","illumina","mgp4184"
"mgm4520392","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01534,-72.52817,"gilbert","illumina","mgp4184"
"mgm4520393","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01534,-72.52817,"gilbert","illumina","mgp4184"
"mgm4440370","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454","mgp16"
"mgm4440371","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454","mgp16"
"mgm4440374","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454","mgp16"
"mgm4440375","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454","mgp16"
"mgm4440376","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454","mgp16"
"mgm4440377","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454","mgp16"
"mgm4440380","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454","mgp16"
"mgm4440939","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440940","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440941","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440942","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440943","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440944","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440945","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440946","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440947","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440948","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440949","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440950","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4772356","host-associated","terrestrial","animal_host-associated","animal_manure","South Korea","LI_CBNU",35,126,"moon","ion torrent","mgp83048"
"mgm4749858","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample B8",34.3992,-118.9182,"egusa","illumina","mgp80801"
"mgm4749859","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample B8",34.3992,-118.9182,"egusa","illumina","mgp80801"
"mgm4749860","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample C1",34.3992,-118.9182,"egusa","illumina","mgp80802"
"mgm4749861","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample C1",34.3992,-118.9182,"egusa","illumina","mgp80802"
"mgm4749862","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample C2",34.3992,-118.9182,"egusa","illumina","mgp80803"
"mgm4749863","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample C2",34.3992,-118.9182,"egusa","illumina","mgp80803"
"mgm4461341","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",32.736585,-117.151475,"Gordon","454","mgp116"
"mgm4461342","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461343","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461344","host-associated","terrestrial","animal_host-associated","animal_feces","Namibia","muegge_mammals_paper_mammal_samples_MG",22.9576,18.4904,"Gordon","454","mgp116"
"mgm4461345","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",32.736585,-117.151475,"Gordon","454","mgp116"
"mgm4461346","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",39.55005,-105.782067,"Gordon","454","mgp116"
"mgm4461347","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461348","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461349","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461350","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461351","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461352","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461353","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461354","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461355","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461356","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461357","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461358","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461360","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461361","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.646991,-90.224967,"Gordon","454","mgp116"
"mgm4461362","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461363","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",32.736585,-117.151475,"Gordon","454","mgp116"
"mgm4461364","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461365","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461366","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461367","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461368","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461369","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461370","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461371","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461372","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461374","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461375","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461376","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461377","host-associated","terrestrial","animal_host-associated","animal_feces","Namibia","muegge_mammals_paper_mammal_samples_MG",22.9576,18.4904,"Gordon","454","mgp116"
"mgm4461378","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461379","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4461380","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",32.736585,-117.151475,"Gordon","454","mgp116"
"mgm4461383","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4715466","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715467","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715468","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715470","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715471","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715472","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715473","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715474","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715475","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715477","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715478","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715479","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715480","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4543021","free-living","terrestrial","soil","desert_soil","India","Project-151",23.834889,69.518917,"bagatharia","ion torrent","mgp3513"
"mgm4578706","host-associated","terrestrial","animal_host-associated","chyme","USA","Sagegrouse_cecal_metagenome",42.183333,-114.766667,"kohl","illumina","mgp10520"
"mgm4441363","free-living","marine","saline_water","salt_lake","Mexico","Comparative metagenomics of two microbial mats at Cuatro Cienegas basin",26.8234444,-102.0147778,"souza","454","mgp2321"
"mgm4442466","free-living","marine","saline_water","salt_lake","Mexico","Comparative metagenomics of two microbial mats at Cuatro Cienegas basin",26.8713889,-102.0198056,"souza","454","mgp2321"
"mgm4442467","free-living","marine","saline_water","salt_lake","Mexico","Comparative metagenomics of two microbial mats at Cuatro Cienegas basin",26.8713889,-102.0198056,"souza","454","mgp2321"
"mgm4440984","free-living","marine","sediment","coastal_marine_sediment","Australia","Jeffries et al PLoS One",-35.55,138.88,"jeffries","454","mgp358"
