"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_meth","project_id"
"SRR5487652",13895731766,80609348,0.445808207208254,11983171031,11983171031,14865733724828044,150,1500,50,150,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA375483"
"SRR5487656",11657049226,67670974,0.45552396190362,10054998481,10054998481,1485865783607607,150,1500,50,150,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA375484"
"SRR5487657",14826037569,86088124,0.405383469055213,12781950912,12781950912,1484751940000458,150,1500,50,150,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA375485"
"SRR6050920",13097949739,76132620,0.479861257964741,11292820356,11292820356,1483309040986636,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA405973"
"SRR6050958",12539736936,72888903,0.476528899100046,10812440353,10812440353,14834137856348312,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA405975"
"SRR6050961",13398252678,77833754,0.476947202448336,11552303919,11552303919,1484228027726891,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA405974"
"SRR6051235",21720751980,126764638,0.451515860416761,18700475213,18700475213,14752122916960484,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA405979"
"SRR6051236",20244201514,118073660,0.439666691232063,17432557073,17432557073,14764137126773236,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA405980"
"SRR6051345",23104801653,134842727,0.431805615435447,19890689947,19890689947,14751029135594388,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA405981"
"SRR6051694",20236502576,117908656,0.427255790491319,17428829340,17428829340,14781636846068366,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA405986"
"SRR6051698",20250677341,118116120,0.42684338057198,17437962873,17437962873,14763406445284522,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA405990"
"SRR6240743",13086262523,76177913,0.406398800931696,11279377460,11279377460,14806624408311106,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA416578"
"SRR6240745",12751875531,74258396,0.423573763929662,10991168749,10991168749,14801247186917422,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA416580"
"SRR6240752",15415772188,92702432,0.420490252875508,13212653599,13212653599,14252758330007998,151,1500,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA416581"
"SRR6240782",13188380351,76534684,0.386607132813966,11373215450,11373215450,14860210894710168,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA416584"
"SRR6240785",15209551527,92101879,0.420056361060942,13020296065,13020296065,14136840861846042,151,150,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA416589"
"mgm4466148",4875208035,36738973,0.468683459259786,3673897269,3673897269,999999991562094,100,100,69,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4466149",7122857687,53636066,0.460456910094786,5363606600,5363606600,1000,100,1000,100,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4466163",13638967205,102609675,0.48006840855894,10260967500,10260967500,1000,100,100,100,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4466188",14712788167,110611805,0.46756380731695,11061180500,11061180500,1000,100,100,100,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4466194",10995155167,82753673,0.441699196239906,8275367300,8275367300,1000,100,100,100,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4466257",11492062540,86489755,0.467458215484597,8648975500,8648975500,1000,100,100,100,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4466602",15544564437,116829637,0.435965143502072,11682963700,11682963700,1000,100,100,100,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4467109",11307858310,85104755,0.443928061951415,8510475500,8510475500,1000,100,100,100,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4467420",2203997599,16654908,0.547148031078887,1665490800,1665490800,1000,100,1000,100,100,"free-living","freshwater","wastewater","sludge","Hong Kong","Stanley WWTP activated sludge sample",22.21,114.22,"zhang","illumina","mgp3718"
"mgm4469340",10818904822,73673568,0.580288031701653,8398786752,8398786752,1140,114,1140,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4469538",4464988496,30449642,0.621529081855469,3471259188,3471259188,1140,114,1140,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4469540",4542555653,30977308,0.621495777863556,3531413112,3531413112,1140,114,1140,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4469858",8140710458,61291799,0.400970009870325,6129179900,6129179900,1000,100,100,100,100,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4470009",5992048518,40837802,0.615537785997155,4655509428,4655509428,1140,114,1140,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4470010",5988252912,40811981,0.615899720119898,4652565834,4652565834,1140,114,114,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4470253",2186717128,14951158,0.625449436231312,1704432012,1704432012,1140,114,1140,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4470254",2762355772,18867093,0.569761342504757,2150848602,2150848602,1140,114,114,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4470255",2743394186,18738079,0.625086086194443,2136141006,2136141006,1140,114,114,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4470315",3220468856,21983526,0.586755365909239,2506121964,2506121964,1140,114,1140,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4470378",5311547263,36208547,0.622594459171259,4127774358,4127774358,1140,114,114,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4470381",5688657919,38773931,0.56596414170509,4420228134,4420228134,1140,114,114,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4470382",5610917411,38245082,0.630538975561914,4359939348,4359939348,1140,114,1140,114,114,"free-living","terrestrial","soil","permafrost","USA","Permafrost_thaw",64.677812,-157.833252,"hultman","illumina","mgp11953"
"mgm4474351",3066580015,23141808,0.444706913596664,2313980288,2313980288,9999133550844428,101,1010,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474352",2071120708,15698082,0.498941701874826,1564146681,1564146681,9963934963519748,101,1010,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474355",3261909338,24629113,0.461950372572928,2460234576,2460234576,9989131870075872,101,101,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474357",2565277865,19400724,0.474808503203356,1936090872,1936090872,9979477425687824,101,1010,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474358",1725113049,13055568,0.439935391927234,1305355142,1305355142,9998455387004226,101,1010,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474359",2692821858,20320860,0.441362560729644,2033309503,2033309503,10006020921358644,101,1010,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474360",3204077987,24210896,0.472516619733779,2416203715,2416203715,9979819478799960,101,1010,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474361",2406052675,18196081,0.475568318244787,1816277956,1816277956,9981698564652466,101,101,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474369",3215977474,24304267,0.477736332992286,2425020527,2425020527,9977756280409528,101,101,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4474805",3202730725,24227000,0.499255280862198,2414249089,2414249089,9965117798324184,101,1010,75,101,"host-associated","terrestrial","human_host-associated","human_feces","Finland","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy",60.44925,22.2592,"ley","illumina","mgp265"
"mgm4477803",824289820,5894139,0.543166152430648,563842910,563842910,9566162419990436,100,100,50,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.725,162.311,"fierer","illumina","mgp2997"
"mgm4477804",770709087,5345134,0.618556295053876,534512971,534512971,9999991974008508,100,1000,99,100,"free-living","terrestrial","soil","savanna_soil","USA","cross-site soil metagen",39.1,-96.6,"fierer","illumina","mgp2997"
"mgm4477805",846312931,5879617,0.641576793664965,586623057,586623057,9977232479598588,100,100,50,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",34.9,-115.65,"fierer","illumina","mgp2997"
"mgm4477807",1323358048,9180796,0.612415765117327,917647595,917647595,9995294471198358,100,1000,50,100,"free-living","terrestrial","soil","forest_soil","USA","cross-site soil metagen",-12.633,-71.233,"fierer","illumina","mgp2997"
"mgm4477872",980658201,6801403,0.631693920930122,680139887,680139887,9999993927723442,100,100,99,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",35.383,-105.933,"fierer","illumina","mgp2997"
"mgm4477873",1595859562,11093131,0.639205396801967,1105713798,1105713798,9967553777197800,100,100,50,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",34.333,-106.733,"fierer","illumina","mgp2997"
"mgm4477874",864714812,5998703,0.597202268867698,599622094,599622094,9995862338908928,100,100,50,100,"free-living","terrestrial","soil","tundra_soil","USA","cross-site soil metagen",68.63,-14.9583,"fierer","illumina","mgp2997"
"mgm4477875",744447920,5169834,0.620114795231898,516117081,516117081,9983242808183008,100,1000,50,100,"free-living","terrestrial","soil","forest_soil","USA","cross-site soil metagen",-26.733,-54.683,"fierer","illumina","mgp2997"
"mgm4477876",937687453,6521162,0.583931195005968,649523434,649523434,9960240736236884,100,1000,50,100,"free-living","terrestrial","soil","forest_soil","USA","cross-site soil metagen",64.8,-148.25,"fierer","illumina","mgp2997"
"mgm4477877",917800984,6370831,0.609912930027015,636421238,636421238,9989611057019092,100,100,50,100,"free-living","terrestrial","soil","forest_soil","USA","cross-site soil metagen",34.617,-81.667,"fierer","illumina","mgp2997"
"mgm4477899",560521256,3887360,0.61889274873786,388735705,388735705,9999992411302272,100,1000,99,100,"free-living","terrestrial","soil","forest_soil","USA","cross-site soil metagen",35.967,-79.083,"fierer","illumina","mgp2997"
"mgm4477900",1136833558,7899748,0.555109616100028,787767627,787767627,997206021002189,100,1000,50,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-78.03,163.8732833,"fierer","illumina","mgp2997"
"mgm4477901",778967932,5417857,0.620347943790894,539576348,539576348,9959220924435620,100,100,50,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.725,162.313,"fierer","illumina","mgp2997"
"mgm4477902",1353808937,9421955,0.639885350141855,937507658,937507658,995024554882718,100,100,50,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.608,163.249,"fierer","illumina","mgp2997"
"mgm4477903",935298522,6518177,0.657840121747391,647280567,647280567,9930392608240004,100,100,50,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.6375,162.887,"fierer","illumina","mgp2997"
"mgm4477904",1552818358,10835540,0.643718386802878,1074217711,1074217711,9913836421627348,100,1000,50,100,"free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.527,161.702,"fierer","illumina","mgp2997"
"mgm4480719",3520921042,27010361,0.500329220049817,2640680604,2640680604,977654687399402,101,101,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480764",3452012100,26430545,0.482737888697834,2590904972,2590904972,9802692195715224,101,101,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480776",3185431535,24394403,0.479282091051635,2391517147,2391517147,9803548572186826,101,101,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480815",3584462020,27435013,0.482176004666451,2690209047,2690209047,980575094679197,101,101,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480859",2660517647,20390469,0.485941589790558,1998735069,1998735069,9802300618980368,101,101,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480861",3170813554,24243747,0.465966081788985,2381874326,2381874326,9824695522519684,101,101,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480863",3650997753,27912702,0.465280825164639,2740984541,2740984541,9819846681270772,101,1010,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480864",3529020186,27009416,0.478701437066134,2648815048,2648815048,9807006001166408,101,1010,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480865",3065413357,23447576,0.468504497148141,2302748581,2302748581,9820838542116252,101,1010,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4480867",4175879807,31912903,0.471331197063991,3133858264,3133858264,982003506230693,101,101,75,101,"free-living","freshwater","wastewater","reactor_sludge","United States of America","Beer-to-Caproate",42.44,-76.5,"angenent","illumina","mgp397"
"mgm4481524",3105704878,23017436,0.47738511983116,2322358138,2322358138,10089560531416272,101,1010,50,101,"host-associated","terrestrial","animal_host-associated","animal_feces","USA","TLR5KO_Metagenome",42.444015,-76.501893,"cornell","illumina","mgp6393"
"mgm4481526",3793964047,28115399,0.48397151319249,2837093766,2837093766,10090889216973232,101,101,50,101,"host-associated","terrestrial","animal_host-associated","animal_feces","USA","TLR5KO_Metagenome",42.444015,-76.501893,"cornell","illumina","mgp6393"
"mgm4481527",1960208400,14528558,0.481822925651687,1465749740,1465749740,10088748931587016,101,1010,50,101,"host-associated","terrestrial","animal_host-associated","animal_feces","USA","TLR5KO_Metagenome",42.444015,-76.501893,"cornell","illumina","mgp6393"
"mgm4481530",3860725868,28641573,0.455958560056068,2885947534,2885947534,10076079040770560,101,101,50,101,"host-associated","terrestrial","animal_host-associated","animal_feces","USA","TLR5KO_Metagenome",42.444015,-76.501893,"cornell","illumina","mgp6393"
"mgm4481563",4271972677,31765524,0.473187283294136,3190847255,3190847255,10045001162266360,101,1010,50,101,"host-associated","terrestrial","animal_host-associated","animal_feces","USA","TLR5KO_Metagenome",42.444015,-76.501893,"cornell","illumina","mgp6393"
"mgm4481574",3726944922,27712583,0.448509619011245,2783761690,2783761690,10045118096714404,101,101,50,101,"host-associated","terrestrial","animal_host-associated","animal_feces","USA","TLR5KO_Metagenome",42.444015,-76.501893,"cornell","illumina","mgp6393"
"mgm4481575",4827656609,35772819,0.459840014031105,3610150340,3610150340,10091881045214804,101,101,50,101,"host-associated","terrestrial","animal_host-associated","animal_feces","USA","TLR5KO_Metagenome",42.444015,-76.501893,"cornell","illumina","mgp6393"
"mgm4481963",8581369393,60528232,0.605930458363028,5916683442,5916683442,9775080564058108,100,1000,50,100,"free-living","freshwater","sediment","river_sediment","USA","Tongue_all_2011",45.139111,-106.767658,"gibbons","illumina","mgp305"
"mgm4481964",8638989972,60829572,0.599964431962482,5961048593,5961048593,9799589898478984,100,1000,50,100,"free-living","freshwater","sediment","river_sediment","USA","Tongue_all_2011",45.139111,-106.767658,"gibbons","illumina","mgp305"
"mgm4481966",2114237344,14850056,0.594486054538076,1460460945,1460460945,9834716751236492,100,1000,50,100,"free-living","freshwater","sediment","river_sediment","USA","Tongue_all_2011",45.139111,-106.767658,"gibbons","illumina","mgp305"
"mgm4482600",6308326917,45341415,0.622987069339372,4312438908,4312438908,9511037333087200,100,99,50,100,"free-living","terrestrial","soil","agricultural_soil","Canada","Enriched soil metagenomes for Glycosyde Hydrolases",43.47417,-80.40972,"verastegui","illumina","mgp8744"
"mgm4482714",7480534074,51974278,0.444615849967219,5243380901,5243380901,10088415082937756,101,1010,50,101,"host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4483800",5726770064,39815017,0.477229951615091,4012888201,4012888201,10078830811500092,101,101,50,101,"host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4483819",5262025237,45347075,0.624100074686942,3265868103,3265868103,7201937728067357,75,75,50,75,"free-living","terrestrial","soil","agricultural_soil","Canada","Enriched soil metagenomes for Glycosyde Hydrolases",43.47417,-80.40972,"verastegui","illumina","mgp8744"
"mgm4483883",6290733065,43719953,0.459422228078454,4408743113,4408743113,10084052727595568,101,101,50,101,"host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4483943",7399946952,51475866,0.445680704833457,5184197036,5184197036,10071121554322176,101,1010,50,101,"host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4484670",7415640226,51528177,0.432792959012527,5197750137,5197750137,10087199741221196,101,101,50,101,"host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4484859",5116225174,35583667,0.472940219492759,3584497571,3584497571,10073435014440754,101,101,50,101,"host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4484865",6293701749,43776351,0.485822134886578,4409531689,4409531689,10072862603372308,101,101,50,101,"host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4486239",6461814707,44903604,0.431172151969417,4529028350,4529028350,10086113243827824,101,1010,50,101,"host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4486524",1386469658,10593675,0.502109369199828,920029315,920029315,8684703986104917,96,95,50,96,"host-associated","terrestrial","human_host-associated","mummy","Germany","Ancient Oral Metagenome",51.565093,8.849015,"warinner","illumina","mgp365"
"mgm4486533",1312763144,9711347,0.424697395262446,885148485,885148485,911457993417391,96,96,50,96,"host-associated","terrestrial","human_host-associated","mummy","Germany","Ancient Oral Metagenome",51.565093,8.849015,"warinner","illumina","mgp365"
"mgm4486537",1439454462,11719144,0.553486519677943,923483315,923483315,788012601432323,96,800,50,96,"host-associated","terrestrial","human_host-associated","mummy","Germany","Ancient Oral Metagenome",51.565093,8.849015,"warinner","illumina","mgp365"
"mgm4486539",1591540452,12293439,0.520707315500751,1050253641,1050253641,8543204558138694,96,93,50,96,"host-associated","terrestrial","human_host-associated","mummy","Germany","Ancient Oral Metagenome",51.565093,8.849015,"warinner","illumina","mgp365"
"mgm4486540",1013506797,8047898,0.522277813491525,659153265,659153265,8190377971987219,96,860,50,96,"host-associated","terrestrial","human_host-associated","mummy","Germany","Ancient Oral Metagenome",51.565093,8.849015,"warinner","illumina","mgp365"
"mgm4486544",1103950337,8447619,0.464840226226424,731988939,731988939,8665032584921266,96,95,50,96,"host-associated","terrestrial","human_host-associated","mummy","Germany","Ancient Oral Metagenome",51.565093,8.849015,"warinner","illumina","mgp365"
"mgm4486613",1152379147,8560723,0.417489557954581,775423509,775423509,9057920797110244,96,96,50,96,"host-associated","terrestrial","human_host-associated","mummy","Germany","Ancient Oral Metagenome",51.565093,8.849015,"warinner","illumina","mgp365"
"mgm4486614",1258716768,9609158,0.480085716651283,835607072,835607072,8695944764359166,96,950,50,96,"host-associated","terrestrial","human_host-associated","mummy","Germany","Ancient Oral Metagenome",51.565093,8.849015,"warinner","illumina","mgp365"
