samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,Realm,Biome,Functional_group
mgm4502928,field,arable soil,plant-associated,NA,No15-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,40.0776833,-88.2157167,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502929,field,arable soil,plant-associated,NA,No2-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,38.1986167,-89.6272,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502930,field,arable soil,plant-associated,NA,No3-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,39.3767667,-90.3235,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502931,field,arable soil,plant-associated,NA,No4-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,39.3756667,-90.3237167,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502932,field,arable soil,plant-associated,NA,No5-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,39.3784833,-90.3239167,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502933,field,arable soil,plant-associated,NA,No6-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,39.3788,-90.3226167,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502934,field,arable soil,plant-associated,NA,No8-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,39.5976167,-89.7643167,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502935,field,arable soil,plant-associated,NA,No9-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,39.5997167,-89.7609333,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520300,plant-associated habitat,bulk soil,plant-associated,NA,root_S10_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00934,-72.49418,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520301,plant-associated habitat,bulk soil,plant-associated,NA,root_S10_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00934,-72.49418,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520302,plant-associated habitat,bulk soil,plant-associated,NA,root_S11_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00942,-72.49433,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520303,plant-associated habitat,bulk soil,plant-associated,NA,root_S11_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00942,-72.49433,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520304,plant-associated habitat,bulk soil,plant-associated,NA,root_S12_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02531,-72.46175,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520305,plant-associated habitat,bulk soil,plant-associated,NA,root_S12_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02531,-72.46175,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520306,plant-associated habitat,bulk soil,plant-associated,NA,root_S13_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02556,-72.46173,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520307,plant-associated habitat,bulk soil,plant-associated,NA,root_S13_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02556,-72.46173,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520308,plant-associated habitat,bulk soil,plant-associated,NA,root_S14_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01507,-72.52865,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520309,plant-associated habitat,bulk soil,plant-associated,NA,root_S14_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01507,-72.52865,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520310,plant-associated habitat,bulk soil,plant-associated,NA,root_S15_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02536,-72.46175,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520311,plant-associated habitat,bulk soil,plant-associated,NA,root_S15_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02536,-72.46175,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520312,plant-associated habitat,bulk soil,plant-associated,NA,root_S16_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0144,-72.52841,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520313,plant-associated habitat,bulk soil,plant-associated,NA,root_S16_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0144,-72.52841,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520314,plant-associated habitat,bulk soil,plant-associated,NA,root_S17_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01493,-72.52853,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520315,plant-associated habitat,bulk soil,plant-associated,NA,root_S17_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01493,-72.52853,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520316,plant-associated habitat,bulk soil,plant-associated,NA,root_S18_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0428,-72.52833,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520317,plant-associated habitat,bulk soil,plant-associated,NA,root_S18_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0428,-72.52833,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520318,plant-associated habitat,bulk soil,plant-associated,NA,root_S19_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01504,-72.52848,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520320,plant-associated habitat,bulk soil,plant-associated,NA,root_S1_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01505,-72.52848,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520321,plant-associated habitat,bulk soil,plant-associated,NA,root_S1_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01505,-72.52848,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520322,plant-associated habitat,bulk soil,plant-associated,NA,root_S20_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01512,-72.5286,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520323,plant-associated habitat,bulk soil,plant-associated,NA,root_S20_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01512,-72.5286,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520324,plant-associated habitat,bulk soil,plant-associated,NA,root_S22_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01506,-72.52854,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520325,plant-associated habitat,bulk soil,plant-associated,NA,root_S22_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01506,-72.52854,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520326,plant-associated habitat,bulk soil,plant-associated,NA,root_S23_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01526,-72.52811,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520327,plant-associated habitat,bulk soil,plant-associated,NA,root_S23_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01526,-72.52811,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520328,plant-associated habitat,bulk soil,plant-associated,NA,root_S24_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00945,-72.4943,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520329,plant-associated habitat,bulk soil,plant-associated,NA,root_S24_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00945,-72.4943,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520330,plant-associated habitat,bulk soil,plant-associated,NA,root_S25_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01446,-72.52847,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520331,plant-associated habitat,bulk soil,plant-associated,NA,root_S25_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01446,-72.52847,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520332,plant-associated habitat,bulk soil,plant-associated,NA,root_S26_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01522,-72.52805,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520333,plant-associated habitat,bulk soil,plant-associated,NA,root_S26_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01522,-72.52805,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520334,plant-associated habitat,bulk soil,plant-associated,NA,root_S27_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00938,-72.49425,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520335,plant-associated habitat,bulk soil,plant-associated,NA,root_S27_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00938,-72.49425,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520336,plant-associated habitat,bulk soil,plant-associated,NA,root_S28_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01534,-72.52817,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520337,plant-associated habitat,bulk soil,plant-associated,NA,root_S28_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01534,-72.52817,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520338,plant-associated habitat,bulk soil,plant-associated,NA,root_S2_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01463,-72.52848,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520339,plant-associated habitat,bulk soil,plant-associated,NA,root_S2_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01463,-72.52848,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520340,plant-associated habitat,bulk soil,plant-associated,NA,root_S3_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01023,-72.53063,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520341,plant-associated habitat,bulk soil,plant-associated,NA,root_S3_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01023,-72.53063,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520342,plant-associated habitat,bulk soil,plant-associated,NA,root_S4_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01502,-72.52851,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520343,plant-associated habitat,bulk soil,plant-associated,NA,root_S4_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01502,-72.52851,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520344,plant-associated habitat,bulk soil,plant-associated,NA,root_S5_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,USA,41.0150,-72.52847,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520345,plant-associated habitat,bulk soil,plant-associated,NA,root_S5_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,USA,41.0150,-72.52847,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520346,plant-associated habitat,bulk soil,plant-associated,NA,root_S6_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00943,-72.49429,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520347,plant-associated habitat,bulk soil,plant-associated,NA,root_S6_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00943,-72.49429,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520348,plant-associated habitat,bulk soil,plant-associated,NA,root_S7_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06277,-72.45041,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520349,plant-associated habitat,bulk soil,plant-associated,NA,root_S7_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06277,-72.45041,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520350,plant-associated habitat,bulk soil,plant-associated,NA,root_S8_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06272,-75.45012,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520351,plant-associated habitat,bulk soil,plant-associated,NA,root_S8_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06272,-75.45012,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520352,plant-associated habitat,bulk soil,plant-associated,NA,root_S9_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01039,-72.53075,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520353,plant-associated habitat,bulk soil,plant-associated,NA,root_S9_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01039,-72.53075,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520354,plant-associated habitat,bulk soil,plant-associated,NA,soil_S29_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,USA,41.0150,-72.52847,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520355,plant-associated habitat,bulk soil,plant-associated,NA,soil_S29_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,USA,41.0150,-72.52847,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520356,plant-associated habitat,bulk soil,plant-associated,NA,soil_S30_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00938,-72.49426,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520357,plant-associated habitat,bulk soil,plant-associated,NA,soil_S30_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00938,-72.49426,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520358,plant-associated habitat,bulk soil,plant-associated,NA,soil_S31_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00933,-72.49417,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520359,plant-associated habitat,bulk soil,plant-associated,NA,soil_S31_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00933,-72.49417,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520360,plant-associated habitat,bulk soil,plant-associated,NA,soil_S32_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01444,-72.52846,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520361,plant-associated habitat,bulk soil,plant-associated,NA,soil_S32_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01444,-72.52846,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520362,plant-associated habitat,bulk soil,plant-associated,NA,soil_S33_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01504,-72.52851,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520363,plant-associated habitat,bulk soil,plant-associated,NA,soil_S33_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01504,-72.52851,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520364,plant-associated habitat,bulk soil,plant-associated,NA,soil_S34_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00936,-72.49427,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520365,plant-associated habitat,bulk soil,plant-associated,NA,soil_S34_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00936,-72.49427,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520366,plant-associated habitat,bulk soil,plant-associated,NA,soil_S35_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02556,-72.46173,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520368,plant-associated habitat,bulk soil,plant-associated,NA,soil_S36_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01508,-72.52867,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520369,plant-associated habitat,bulk soil,plant-associated,NA,soil_S36_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01508,-72.52867,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4520370,plant-associated habitat,bulk soil,plant-associated,NA,soil_S37_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06267,-75.45014,Udvardy biome,mgp4184,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
