"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"SRR3989313",13014212748,79022350,0.472918457684791,11139365919,11139365919,140.964751351991,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Groundwater microbial communities from Rifle, Colorado - Rifle Oxygen_injection A3 metagenome",39.53,-107.78,"Banfield","illumina"
"SRR3989315",5460804688,32565118,0.477389490256579,4700648933,4700648933,144.346135426256,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Groundwater microbial communities from Rifle, Colorado - Rifle Oxygen_injection C3 metagenome",39.534762,-107.782602,"Banfield","illumina"
"SRR4343426",12363333643,102852791,0.476559820360473,9915676056,9915676056,96.4064850316021,101,101,50,101,"free-living","freshwater","groundwater","porous_contaminated","Chade","groundwater metagenome Metagenome",21,21,"Seher","illumina"
"SRR4343427",2566508236,17233010,0.46732644920837,2198075439,2198075439,127.55029092422,186,131,50,187,"free-living","freshwater","groundwater","porous_contaminated","USA","groundwater metagenome Metagenome",40.0583,-74.4057,"Seher","illumina"
"SRR4343428",8458954615,70037768,0.481368675784891,6798910321,6798910321,97.074914223423,101,101,50,101,"free-living","freshwater","groundwater","porous_contaminated","Chade","groundwater metagenome Metagenome",21,21,"Seher","illumina"
"SRR4343429",850373769,5955286,0.475755331870529,726373461,726373461,121.971213641125,121,123,50,187,"free-living","freshwater","groundwater","porous_contaminated","USA","groundwater metagenome Metagenome",40.0583,-74.4057,"Seher","illumina"
"SRR4343430",7011179753,57550782,0.482862968769071,5651478205,5651478205,98.1998507856939,101,101,50,101,"free-living","freshwater","groundwater","porous_contaminated","Chade","groundwater metagenome Metagenome",21,21,"Seher","illumina"
"SRR4343431",127730853,1141987,0.518457787471275,104781356,104781356,91.7535453555951,101,100,50,101,"free-living","freshwater","groundwater","porous_contaminated","Chade","groundwater metagenome Metagenome",21,21,"Seher","illumina"
"SRR4343433",10730703961,88636796,0.489421789376986,8624158778,8624158778,97.2977269846261,101,101,50,101,"free-living","freshwater","groundwater","porous_contaminated","Chade","groundwater metagenome Metagenome",21,21,"Seher","illumina"
"SRR4343434",868016492,5897391,0.489637498133751,745237984,745237984,126.367402805749,185,129,50,187,"free-living","freshwater","groundwater","porous_contaminated","Chade","groundwater metagenome Metagenome",21,21,"Seher","illumina"
"SRR4343440",177482678,1578621,0.514279255203357,145367841,145367841,92.085333338401,101,100,50,101,"free-living","freshwater","groundwater","porous_contaminated","Chade","groundwater metagenome Metagenome",20,22,"Seher","illumina"
"SRR446575",8838204574,84001065,0.439689098137411,6925665810,6925665810,82.4473571852928,85,85,50,85,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO Subsurface Groundwater Metagenome",39.55,-107.78,"Thomas","illumina"
"SRR446576",8043431473,77311269,0.443121074643169,6283631288,6283631288,81.2770423933929,85,85,50,85,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO Subsurface Groundwater Metagenome",39.55,-107.78,"Thomas","illumina"
"SRR446577",6520949616,63295663,0.40943631675928,5081603768,5081603768,80.2836012318885,85,85,50,85,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO Subsurface Groundwater Metagenome",39.55,-107.78,"Thomas","illumina"
"SRR5248198",16170198936,102240951,0.462708057632231,13737587907,13737587907,134.364829088884,150,144,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-23 metagenome",36.000305,-106.072539,"Reiss","illumina"
"SRR5248199",13225088168,78570015,0.523566810113137,11360978733,11360978733,144.596876212891,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47 metagenome",36.000305,-106.072539,"Reiss","illumina"
"SRR5248218",20400260100,125878737,0.429244693826594,17400612775,17400612775,138.233137618786,150,147,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample HSE6-05 metagenome",36.000305,-106.072539,"Reiss","illumina"
"SRR5248219",18012106576,107842828,0.501267350965561,15444753294,15444753294,143.215395779495,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample HSE6-23 metagenome",36.000305,-106.072539,"Reiss","illumina"
"SRR5435972",24460560444,141419243,0.436088397148227,21088519046,21088519046,149.120576511642,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR5435975",23356599069,134879483,0.43971466636739,20141586491,20141586491,149.330246847106,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR5468912",17757835572,103897763,0.594075306140006,15286113163,15286113163,147.126489749351,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMZT100 metagenome",38.836269,-106.947211,"Banfield","illumina"
"SRR5468955",14309563277,83625461,0.602911200199573,12324348633,12324348633,147.37555387587,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMLT700 metagenome",38.836269,-106.947211,"Banfield","illumina"
"SRR5468956",14748634069,86198236,0.608098815540571,12701714576,12701714576,147.354692687679,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMLT890 metagenome",38.836269,-106.947211,"Banfield","illumina"
"SRR5468957",7021893859,41212732,0.602431107065064,6054613806,6054613806,146.911245922741,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMZT299 metagenome",38.836269,-106.947211,"Banfield","illumina"
"SRR5487649",14441507543,84033825,0.423868750427533,12446756704,12446756704,148.11603189549,150,150,50,150,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR5487652",13895731766,80609348,0.445808207208254,11983171031,11983171031,148.65733724828,150,150,50,150,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR5487656",11657049226,67670974,0.45552396190362,10054998481,10054998481,148.586578360761,150,150,50,150,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR5487657",14826037569,86088124,0.405383469055213,12781950912,12781950912,148.475194000046,150,150,50,150,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6050920",13097949739,76132620,0.479861257964742,11292820356,11292820356,148.330904098664,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6050958",12539736936,72888903,0.476528899100046,10812440353,10812440353,148.341378563483,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6050961",13398252678,77833754,0.476947202448336,11552303919,11552303919,148.422802772689,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6051235",21720751980,126764638,0.451515860416761,18700475213,18700475213,147.521229169605,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6051236",20244201514,118073660,0.439666691232063,17432557073,17432557073,147.641371267732,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6051345",23104801653,134842727,0.431805615435447,19890689947,19890689947,147.510291355944,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6051694",20236502576,117908656,0.427255790491319,17428829340,17428829340,147.816368460684,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6051698",20250677341,118116120,0.42684338057198,17437962873,17437962873,147.634064452845,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6240743",13086262523,76177913,0.406398800931696,11279377460,11279377460,148.066244083111,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6240745",12751875531,74258396,0.423573763929662,10991168749,10991168749,148.012471869174,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6240752",15415772188,92702432,0.420490252875508,13212653599,13212653599,142.52758330008,151,150,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6240782",13188380351,76534684,0.386607132813966,11373215450,11373215450,148.602108947102,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR6240785",15209551527,92101879,0.420056361060942,13020296065,13020296065,141.36840861846,151,150,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina"
"SRR7193715",11830760572,69023013,0.607662913612034,10194164329,10194164329,147.69225343727,151,150,50,151,"free-living","marine","groundwater","subsurface_saline","Finland","Groundwater microbial communities from the Olkiluoto Island deep subsurface site, Finland - KR46_J_MetaG metagenome",61.235625,21.475795,"Dopson","illumina"
"mgm4440036",12943841,93530,0.382888000766972,10149007,10149007,108.510713140169,106,109,50,296,"free-living","marine","saline_water","coral_reef_seawater","United States of America","Northern Line Islands",6.3856,-162.334722,"dinsdale","454"
"mgm4440037",25050521,184554,0.483163682282527,19439019,19439019,105.329708378036,110,107,50,283,"free-living","marine","saline_water","coral_reef_seawater","United States of America","Northern Line Islands",6.3856,-162.334722,"dinsdale","454"
"mgm4440038",39834224,281947,0.338961470129031,31204880,31204880,110.676403721267,109,111,50,290,"free-living","marine","saline_water","coral_reef_seawater","United States of America","Northern Line Islands",1.99231667,-157.4840667,"dinsdale","454"
"mgm4440039",46853171,343295,0.459563766621288,36320742,36320742,105.800381596003,105,106,50,251,"free-living","marine","saline_water","coral_reef_seawater","United States of America","Northern Line Islands",5.866944,-162.1278,"dinsdale","454"
"mgm4440040",48203631,356703,0.369682807868461,37256788,37256788,104.447644118496,106,106,50,224,"free-living","marine","saline_water","coral_reef_seawater","United States of America","Northern Line Islands",5.866944,-162.1278,"dinsdale","454"
"mgm4440041",30057660,222180,0.468102014515107,23279746,23279746,104.778764965343,102,103,50,361,"free-living","marine","saline_water","coral_reef_seawater","United States of America","Northern Line Islands",1.99231667,-157.4840667,"dinsdale","454"
"mgm4440055",6366571,49562,0.571449632936764,4890438,4890438,98.6731366772931,98,99,50,183,"host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440056",7495590,58229,0.559915103240474,5759466,5759466,98.9106115509454,99,99,50,179,"host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440059",8365171,64667,0.538383875265593,6436075,6436075,99.5264199669074,100,100,50,203,"host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440064",7460466,58095,0.52998571335801,5728428,5728428,98.6044926413633,99,99,50,197,"host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440065",7676708,59611,0.48471486328955,5899293,5899293,98.9631611615306,100,100,50,161,"host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440066",10511828,80892,0.52520608008668,8096003,8096003,100.084099787371,101,101,50,199,"host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440090",14330024,109908,0.433943209351553,11033718,11033718,100.390490228191,105,103,50,227,"free-living","marine","saline_water","saline_evaporation_pond","United States of America","Chula Vista, CA Solar Saltern Study",32.6,-117.1072,"rodriguez-brito","454"
"mgm4440212",53564294,208066,0.399036254647876,47225338,47225338,226.972873991906,249,247,50,446,"free-living","marine","saline_water","coastal_seawater","Norway","cDNA - Plymouth Marine Lab Coastal Waters project",60.27,5.22,"gilbert","454"
"mgm4440213",34988459,134198,0.402396659120949,30939402,30939402,230.550395683989,255,250,50,370,"free-living","marine","saline_water","coastal_seawater","Norway","cDNA - Plymouth Marine Lab Coastal Waters project",60.27,5.22,"gilbert","454"
"mgm4440275",69656874,341622,0.379749674564835,59177686,59177686,173.225629496929,253,172,50,367,"free-living","marine","saline_water","coastal_seawater","Norway","cDNA - Plymouth Marine Lab Coastal Waters project",60.27,64.47,"gilbert","454"
"mgm4440276",77331596,302264,0.413067634090039,68072506,68072506,225.208777757192,253,246,50,408,"free-living","marine","saline_water","coastal_seawater","Norway","cDNA - Plymouth Marine Lab Coastal Waters project",60.27,-5.22,"gilbert","454"
"mgm4440370",4646393,35184,0.429087462447143,3601923,3601923,102.37389154161,101,103,50,211,"host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440371",6252091,46108,0.435903915565915,4879167,4879167,105.820399930598,105,106,50,339,"host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440374",5124999,38375,0.469642518342882,3984652,3984652,103.83457980456,104,105,50,199,"host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440375",5382755,37492,0.489765268466242,4268749,4268749,113.857596287208,104,112,50,202,"host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440376",4882535,37075,0.428377331143361,3780870,3780870,101.978961564397,103,103,50,206,"host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440377",4612902,33636,0.456612580222969,3614769,3614769,107.4672672137,104,107,50,217,"host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440380",7517765,51584,0.480617387880465,5981005,5981005,115.946902140199,105,115,50,223,"host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440419",4755720,35358,0.613346698740045,3706085,3706085,104.816024662028,108,106,50,193,"free-living","marine","saline_water","saline_evaporation_pond","United States of America","Chula Vista, CA Solar Saltern Study",32.6,-117.1072,"rodriguez-brito","454"
"mgm4440420",8363493,62504,0.431824811723284,6499476,6499476,103.984960962498,105,105,50,188,"free-living","marine","saline_water","saline_evaporation_pond","United States of America","Chula Vista, CA Solar Saltern Study",32.6,-117.1072,"rodriguez-brito","454"
"mgm4440421",19947913,153095,0.530339307240452,15312759,15312759,100.021287435906,102,102,50,160,"free-living","marine","saline_water","saline_evaporation_pond","United States of America","Chula Vista, CA Solar Saltern Study",32.6,-117.1072,"rodriguez-brito","454"
"mgm4440425",15466332,120480,0.613655489610585,11842534,11842534,98.2946049136786,100,100,50,187,"free-living","marine","saline_water","saline_evaporation_pond","United States of America","Chula Vista, CA Solar Saltern Study",32.6,-117.1072,"rodriguez-brito","454"
