"samples","PI_lastname","latitude","longitude","observations","project_id","project_name","seq_meth","biome","life_style","environment","habitat","sequence_count_raw","average_length_raw","standard_deviation_length_raw","average_gc_content_raw","standard_deviation_gc_content_raw","average_gc_ratio_raw","standard_deviation_gc_ratio_raw","bp_count_preprocessed","sequence_count_preprocessed","average_length_preprocessed","standard_deviation_length_preprocessed","average_gc_content_preprocessed","standard_deviation_gc_content_preprocessed","average_gc_ratio_preprocessed","standard_deviation_gc_ratio_preprocessed","file_size_pos_prinseq","file_size_pos_prodigal","orf_count","args_total_count","bp_count_raw","drop"
"ERR1527240","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527241","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527242","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527243","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527244","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527245","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527246","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527247","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527248","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527249","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527250","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527251","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527252","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527253","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527254","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527255","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527256","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527257","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527258","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527259","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527260","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527261","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527262","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527263","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527264","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527265","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527266","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527267","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527268","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527269","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527270","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527271","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527272","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527273","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527274","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527275","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527276","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527277","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527278","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527279","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527280","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527281","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527282","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527283","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527284","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527285","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527286","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR2108712","Madsen",43.29,-73.6,"NA","PRJEB22302","Tracking carbon-flow from naphthalene degrading bacteria in coal-tar contaminated surface sediments and groundwater.","illumina","freshwater","free-living","groundwater","porous_contaminated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR2108713","Madsen",43.29,-73.6,"NA","PRJEB22302","Tracking carbon-flow from naphthalene degrading bacteria in coal-tar contaminated surface sediments and groundwater.","illumina","freshwater","free-living","groundwater","porous_contaminated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR2108715","Madsen",43.29,-73.6,"NA","PRJEB22302","Tracking carbon-flow from naphthalene degrading bacteria in coal-tar contaminated surface sediments and groundwater.","illumina","freshwater","free-living","groundwater","porous_contaminated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR2136696","Itävaara",63.66,26.05,"NA","PRJEB22782","DeepHotMicrobe","illumina","freshwater","free-living","groundwater","mine","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR2136697","Itävaara",63.66,26.05,"NA","PRJEB22782","DeepHotMicrobe","illumina","freshwater","free-living","groundwater","mine","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR2191545","Dopson",57.43,16.66,"NA","PRJEB10519","Aespoe aquifer metagenome","illumina","freshwater","free-living","groundwater","subsurface_saline","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR2191546","Dopson",57.43,16.66,"NA","PRJEB10519","Aespoe aquifer metagenome","illumina","freshwater","free-living","groundwater","subsurface_saline","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"mgm4440026","willner",32.88,-117.11,"NA","mgp31","human lung healthy vs cystic fibrosis metagenome","454","terrestrial","host-associated","human_host-associated","lung",50909,80353,17.97,40522,9804,1623,684,2363674,28171,83905,16937,39787,10076,1683,717,3798222,1602507,10835,0,4090704,"FALSE"
"mgm4440036","dinsdale",6.39,-162.33,"NA","mgp40","northern line islands","454","marine","free-living","saline_water","coral_reef_seawater",94915,108343,15362,38795,9688,1759,828,8688311,79503,109283,11584,37915,9219,1804,738,9538399,8955981,61559,0,10283401,"FALSE"
"mgm4440037","dinsdale",6.39,-162.33,"NA","mgp40","northern line islands","454","marine","free-living","saline_water","coral_reef_seawater",188445,104825,16163,48282,10959,1229,1022,15254974,143977,105954,13014,46966,10844,1.29,1015,16799051,12798084,88507,0,19753735,"FALSE"
"mgm4440038","dinsdale",1.99,-157.48,"NA","mgp40","northern line islands","454","marine","free-living","saline_water","coral_reef_seawater",283390,110563,16405,34529,10078,2157,984,27087896,242840,111546,12835,34.39,9687,2147,928,29766987,26211668,178553,0,31332362,"FALSE"
"mgm4440039","dinsdale",5.87,-162.13,"NA","mgp40","northern line islands","454","marine","free-living","saline_water","coral_reef_seawater",351205,105509,17323,46012,10838,1339,982,24333111,227018,107186,13.64,44908,10.97,1404,999,31113217,20830983,135052,0,37055255,"FALSE"
"mgm4440040","dinsdale",5.87,-162.13,"NA","mgp40","northern line islands","454","marine","free-living","saline_water","coral_reef_seawater",358983,104353,15108,37362,8182,1816,682,30027722,282579,106263,11.49,37207,8049,1823,665,38620261,34427388,223239,0,37461045,"FALSE"
"mgm4440041","dinsdale",1.99,157.48,"NA","mgp40","northern line islands","454","marine","free-living","saline_water","coral_reef_seawater",227542,104127,19112,47364,11564,1281,1285,19886626,191342,103932,14.29,47747,11331,1247,941,21915052,19849289,137147,0,23693344,"FALSE"
"mgm4440051","willner",32.88,-117.11,"NA","mgp31","human lung healthy vs cystic fibrosis metagenome","454","terrestrial","host-associated","human_host-associated","lung",838932,104581,12966,39727,9782,1684,865,28121570,261924,107365,10416,39409,9917,1715,1013,48610585,22335629,124018,0,87736215,"FALSE"
"mgm4440055","angly",33.54,-116.1,"NA","mgp21","aquacultured fish (kent state)","454","terrestrial","host-associated","animal_host-associated","bodily_fluid",51498,98586,11419,57414,9338,797,355,4764997,47886,99507,8.56,57646,9153,787,338,5290045,6066985,42523,0,5076977,"FALSE"
"mgm4440056","angly",33.54,-116.1,"NA","mgp21","aquacultured fish (kent state)","454","terrestrial","host-associated","animal_host-associated","bodily_fluid",60311,98766,11664,56339,9807,0.84,385,5571222,55836,99778,8.74,56544,9653,0.83,371,6228292,7071543,49251,1,5956666,"FALSE"
"mgm4440059","angly",33.54,-116.1,"NA","mgp21","aquacultured fish (kent state)","454","terrestrial","host-associated","animal_host-associated","bodily_fluid",66066,99393,11835,54173,10388,937,526,6069554,60580,100191,8912,54512,10071,915,476,6794583,7343232,51045,0,6566476,"FALSE"
"mgm4440064","angly",33.54,-116.1,"NA","mgp21","aquacultured fish (kent state)","454","terrestrial","host-associated","animal_host-associated","bodily_fluid",60111,98318,12929,53337,11349,0.98,542,5392438,54098,99679,9554,53685,11201,962,508,6034665,6133663,42699,1,5909984,"FALSE"
"mgm4440065","angly",33.54,-116.1,"NA","mgp21","aquacultured fish (kent state)","454","terrestrial","host-associated","animal_host-associated","bodily_fluid",61476,98453,13567,48832,12087,1201,783,5561255,55690,99861,10.06,49052,12,1184,696,6201502,5372333,37444,0,6052526,"FALSE"
"mgm4440066","angly",33.54,-116.1,"NA","mgp21","aquacultured fish (kent state)","454","terrestrial","host-associated","animal_host-associated","bodily_fluid",82442,99951,12206,52807,9.9,969,415,7710996,76330,101022,9173,53011,9782,958,403,8623993,9212447,63901,1,8240160,"FALSE"
"mgm4440090","rodriguez-brito",32.6,-117.11,"NA","mgp11","chula vista ca solar saltern study","454","marine","free-living","saline_water","saline_evaporation_pond",111431,99.82,20264,44584,14629,1542,1096,10295246,101927,101006,17091,44678,14435,1522,1045,11508728,10372858,71999,0,11122989,"FALSE"
"mgm4440212","gilbert",60.27,5.22,"NA","mgp52","cdna - plymouth marine lab coastal waters project","454","marine","free-living","saline_water","coastal_seawater",209073,226185,60.46,40125,9906,1656,704,43239123,180859,239076,43.41,40137,9836,1651,688,53258733,33240253,178572,0,47289202,"FALSE"
"mgm4440213","gilbert",60.27,5.22,"NA","mgp52","cdna - plymouth marine lab coastal waters project","454","marine","free-living","saline_water","coastal_seawater",134915,229713,61508,40664,9.82,1615,0.68,27671486,113505,243791,42.9,40533,9759,1621,671,33963318,21140762,112927,2,30991689,"FALSE"
"mgm4440275","gilbert",60.27,64.47,"NA","mgp52","cdna - plymouth marine lab coastal waters project","454","marine","free-living","saline_water","coastal_seawater",344216,172323,71136,37.83,8979,1801,713,53809394,311851,172548,71136,37808,8984,1803,715,60308680,45989102,265486,1,59316369,"FALSE"
"mgm4440276","gilbert",60.27,-5.22,"NA","mgp52","cdna - plymouth marine lab coastal waters project","454","marine","free-living","saline_water","coastal_seawater",304020,224287,61004,41493,9911,1562,677,61051725,257461,237.13,44065,41543,9807,1554,654,632377,451176,2518,0,68187679,"FALSE"
"mgm4440370","vega thurber",21.43,-157.79,"NA","mgp16","stressed coral holobionts","454","marine","host-associated","animal_host-associated","coral",35680,102175,14219,43295,9522,1442,667,3334229,32255,103371,10709,43581,9435,1.42,0.63,3707898,3423471,23692,1,3645606,"FALSE"
"mgm4440371","vega thurber",21.43,-157.79,"NA","mgp16","stressed coral holobionts","454","marine","host-associated","animal_host-associated","coral",50364,104728,16585,43509,9291,1415,577,4611204,43831,105204,12743,43396,9186,1419,571,5099834,4381782,30238,1,5274525,"FALSE"
"mgm4440374","vega thurber",21.43,157.79,"NA","mgp16","stressed coral holobionts","454","marine","host-associated","animal_host-associated","coral",39340,103697,13539,47223,10165,1231,553,3812715,36354,104877,10118,47349,10078,1221,539,4229518,4198512,28914,0,4079432,"FALSE"
"mgm4440375","vega thurber",21.43,-157.79,"NA","mgp16","stressed coral holobionts","454","marine","host-associated","animal_host-associated","coral",39036,113.38,20013,48525,10948,1187,826,3529868,31259,112923,16638,47115,10925,1255,875,3889449,2841314,19362,1,4425894,"FALSE"
"mgm4440376","vega thurber",21.43,-157.79,"NA","mgp16","stressed coral holobionts","454","marine","host-associated","animal_host-associated","coral",39270,101323,15659,42938,9823,1463,646,3645426,35665,102213,12385,43125,9788,1448,618,4067879,3325740,23098,1,3978972,"FALSE"
"mgm4440377","vega thurber",21.43,-157.79,"NA","mgp16","stressed coral holobionts","454","marine","host-associated","animal_host-associated","coral",34433,107183,18219,45486,11547,1355,662,3236613,30105,107511,13844,45063,11457,1377,662,3586405,3094674,21259,0,3690641,"FALSE"
"mgm4440380","vega thurber",21.43,-157.79,"NA","mgp16","stressed coral holobionts","454","marine","host-associated","animal_host-associated","coral",53473,115176,21463,47086,11872,1272,636,4948560,43043,114968,18461,45414,11533,1352,643,5464465,3325547,22533,0,6158805,"FALSE"
"mgm4440419","rodriguez-brito",32.6,-117.11,"NA","mgp11","chula vista ca solar saltern study","454","marine","free-living","saline_water","saline_evaporation_pond",35446,104703,13667,61136,10455,704,451,3552549,33356,106504,10095,61232,10313,698,428,3953977,4070364,27864,0,3711295,"FALSE"
"mgm4440420","rodriguez-brito",32.6,-117.11,"NA","mgp11","chula vista ca solar saltern study","454","marine","free-living","saline_water","saline_evaporation_pond",62685,103.87,14659,43679,11.36,1464,718,5963798,56810,104978,11288,43985,11223,1439,689,6649465,6039240,41734,0,6511083,"FALSE"
"mgm4440421","rodriguez-brito",32.6,-117.11,"NA","mgp11","chula vista ca solar saltern study","454","marine","free-living","saline_water","saline_evaporation_pond",154167,99762,14088,52975,10369,971,448,13888796,136564,101702,10492,53088,10244,964,436,15531546,17592050,121484,0,15379956,"FALSE"
"mgm4440425","rodriguez-brito",32.6,-117.11,"NA","mgp11","chula vista ca solar saltern study","454","marine","free-living","saline_water","saline_evaporation_pond",120987,98085,14.01,61439,11345,708,468,10887381,108725,100137,10496,61.63,11176,699,448,12194073,14136948,97998,0,11867028,"FALSE"
"mgm4440426","rodriguez-brito",32.6,-117.11,"NA","mgp11","chula vista ca solar saltern study","454","marine","free-living","saline_water","saline_evaporation_pond",34296,100691,19.72,43.46,13.15,1575,1.01,3251848,31948,101786,16135,43601,12914,1549,944,3635996,2952495,20573,0,3453306,"FALSE"
"mgm4440428","rodriguez-brito",32.6,-117.11,"NA","mgp11","chula vista ca solar saltern study","454","marine","free-living","saline_water","saline_evaporation_pond",58735,98109,18.81,47326,13067,1325,865,5124313,51542,99.42,15578,47677,12741,1.29,805,5741447,5076698,35420,0,5762444,"FALSE"
