"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","Realm.","Biome","Functional.group","file_size_in_bytes","total_reads","GC_content","read_mean_lenght","total_base_pairs","read_size_std","maximum_read_size","minimum_read_size"
"mgm4502539","field","arable soil","plant-associated",NA,"No11-pair.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA","39.59845",-89.7643667,"Prairie Division (250)","mgp2076","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",7478712685,47645473,0.608553117133812,98.9545495749407,4714736320,5.45122586602186,100,50
"mgm4502540","field","arable soil","plant-associated",NA,"No11-sole.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA","39.59845",-89.7643667,"Prairie Division (250)","mgp2076","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",11094238020,70457571,0.611919945672948,98.4585604434192,6937151013,6.04188070727988,100,50
"mgm4502541","field","arable soil","plant-associated",NA,"No7-pair.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA","39.5997833",-89.7643667,"Prairie Division (250)","mgp2076","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",5710710262,36366134,0.598155240824493,99.0268670296381,3601224316,5.25026205769269,100,50
"mgm4502542","field","arable soil","plant-associated",NA,"No7-sole.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA","39.5997833",-89.7643667,"Prairie Division (250)","mgp2076","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",5200545877,32974618,0.601958769705299,98.7080463221742,3254860121,5.58777653872431,100,50
"mgm4502543","field","arable soil","plant-associated",NA,"No77-pair.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA","39.5997833",-89.7643667,"Prairie Division (250)","mgp2076","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",322829390,2062453,0.580554506167118,97.550782005699,201193903,7.25595418039272,100,58
"mgm4502923","field","arable soil","plant-associated",NA,"No1-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","38.1980",-89.6276,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",788326410,5025561,0.572340439925642,97.8581788182454,491792247,6.80087312655546,100,56
"mgm4502924","field","arable soil","plant-associated",NA,"No10-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","39.5853",-89.7607167,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",92574072,590632,0.577626039750034,97.7728500995544,57747774,6.98101028378561,100,59
"mgm4502925","field","arable soil","plant-associated",NA,"No12-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","40.21975",-88.4673667,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",1419751953,9057191,0.595592578643903,97.7373524528742,885225869,6.99667499189012,100,55
"mgm4502926","field","arable soil","plant-associated",NA,"No13-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","40.2212833",-88.4665333,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",602289855,3845708,0.599369278671333,97.6170525687338,375406680,7.17384859912528,100,57
"mgm4502927","field","arable soil","plant-associated",NA,"No14-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","40.0776667",-88.2178667,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",172633664,1101412,0.590207993328718,97.7964866916286,107714224,6.95346262865032,100,56
"mgm4502928","field","arable soil","plant-associated",NA,"No15-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","40.0776833",-88.2157167,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3695807549,23569963,0.603872856495705,97.7792201879994,2304652602,6.93274900009797,100,54
"mgm4502929","field","arable soil","plant-associated",NA,"No2-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","38.1986167",-89.6272,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2454316337,15622113,0.574300951412223,98.0846132658239,1532288912,6.45171365082324,100,53
"mgm4502930","field","arable soil","plant-associated",NA,"No3-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","39.3767667",-90.3235,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",1687767438,10758718,0.582891870695691,97.8614137855458,1052863354,6.79928465256518,100,55
"mgm4502931","field","arable soil","plant-associated",NA,"No4-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","39.3756667",-90.3237167,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",1894038217,12061547,0.575452355870174,98.0137440910357,1182197381,6.58465039873032,100,58
"mgm4502932","field","arable soil","plant-associated",NA,"No5-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","39.3784833",-90.3239167,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",1359242411,8666625,0.592093739867901,97.8264669349372,847825304,6.87186274721586,100,54
"mgm4502933","field","arable soil","plant-associated",NA,"No6-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","39.3788",-90.3226167,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3696247568,23508593,0.562430197153282,98.2075831590602,2308722102,6.22024491375679,100,55
"mgm4502934","field","arable soil","plant-associated",NA,"No8-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","39.5976167",-89.7643167,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2160005487,13753527,0.583609903026807,98.0281497247942,1348232804,6.55754934202582,100,56
"mgm4502935","field","arable soil","plant-associated",NA,"No9-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA","39.5997167",-89.7609333,"Prairie Division (250)","mgp2205","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",630824300,4024262,0.58130097069195,97.7565904009232,393398132,6.94697667662852,100,53
"mgm4520300","plant-associated habitat","bulk soil","plant-associated",NA,"root_S10_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00934",-72.49418,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3360755,10818,0.51625487933725,250.925124792013,2714508,0.385374706280138,251,243
"mgm4520301","plant-associated habitat","bulk soil","plant-associated",NA,"root_S10_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00934",-72.49418,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",1469235,4730,0.462191240330917,250.875898520085,1186643,0.598890838668618,251,244
"mgm4520302","plant-associated habitat","bulk soil","plant-associated",NA,"root_S11_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00942",-72.49433,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",21145732,68085,0.571087659900913,250.88515825806,17081516,0.385731147634541,251,243
"mgm4520303","plant-associated habitat","bulk soil","plant-associated",NA,"root_S11_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00942",-72.49433,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3419472,11010,0.499603511978645,250.839963669391,2761748,0.665229661204343,251,238
"mgm4520304","plant-associated habitat","bulk soil","plant-associated",NA,"root_S12_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.02531",-72.46175,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",9181014,29557,0.539793491971155,250.901174002774,7415886,0.393366763275334,251,243
"mgm4520305","plant-associated habitat","bulk soil","plant-associated",NA,"root_S12_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.02531",-72.46175,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2244888,7228,0.451110080424785,250.864277808522,1813247,0.592378206458602,251,244
"mgm4520306","plant-associated habitat","bulk soil","plant-associated",NA,"root_S13_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.02556",-72.46173,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",22543835,72587,0.576389227886752,250.890062958932,18211357,0.426897207621634,251,239
"mgm4520307","plant-associated habitat","bulk soil","plant-associated",NA,"root_S13_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.02556",-72.46173,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2821497,9086,0.504024093657379,250.800572309047,2278774,0.822911440674006,251,218
"mgm4520308","plant-associated habitat","bulk soil","plant-associated",NA,"root_S14_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01507",-72.52865,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",33591701,108158,0.566851289218811,250.898010318238,27136627,0.38398880270926,251,242
"mgm4520309","plant-associated habitat","bulk soil","plant-associated",NA,"root_S14_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01507",-72.52865,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",4525737,14572,0.480260117939465,250.841682679111,3655265,0.664729942548664,251,236
"mgm4520310","plant-associated habitat","bulk soil","plant-associated",NA,"root_S15_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.02536",-72.46175,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",8085512,26032,0.5712031593215,250.903849108789,6531529,0.35098819054641,251,244
"mgm4520311","plant-associated habitat","bulk soil","plant-associated",NA,"root_S15_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.02536",-72.46175,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",4087405,13160,0.486631885863069,250.86914893617,3301438,0.551985891659558,251,243
"mgm4520312","plant-associated habitat","bulk soil","plant-associated",NA,"root_S16_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.0144",-72.52841,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",26418429,85064,0.563979870134799,250.891352393492,21341822,0.372042889561531,251,243
"mgm4520313","plant-associated habitat","bulk soil","plant-associated",NA,"root_S16_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.0144",-72.52841,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",5158215,16608,0.472098604834239,250.874879576108,4166530,0.523986911275998,251,240
"mgm4520314","plant-associated habitat","bulk soil","plant-associated",NA,"root_S17_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01493",-72.52853,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",8978343,28906,0.54408359961924,250.911783020826,7252856,0.356980683151479,251,243
"mgm4520315","plant-associated habitat","bulk soil","plant-associated",NA,"root_S17_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01493",-72.52853,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2173518,6997,0.452902172606689,250.912248106331,1755633,0.519562518922379,251,242
"mgm4520316","plant-associated habitat","bulk soil","plant-associated",NA,"root_S18_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.0428",-72.52833,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",28742140,92543,0.564326432722087,250.898079811547,23218861,0.361808899622008,251,243
"mgm4520317","plant-associated habitat","bulk soil","plant-associated",NA,"root_S18_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.0428",-72.52833,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",4672394,15044,0.477111354892047,250.856155277852,3773880,0.618509806708117,251,237
"mgm4520318","plant-associated habitat","bulk soil","plant-associated",NA,"root_S19_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01504",-72.52848,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",5173143,16655,0.574717798277368,250.905854097869,4178837,0.365914337620018,251,243
"mgm4520320","plant-associated habitat","bulk soil","plant-associated",NA,"root_S1_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01505",-72.52848,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",4713606,15223,0.528937570313872,250.901990409249,3819481,0.411792354043051,251,243
"mgm4520321","plant-associated habitat","bulk soil","plant-associated",NA,"root_S1_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01505",-72.52848,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",1646399,5318,0.460616564145849,250.853328318917,1334038,0.665112177722976,251,241
"mgm4520322","plant-associated habitat","bulk soil","plant-associated",NA,"root_S20_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01512",-72.5286,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",42926138,138216,0.565543592280067,250.894310354807,34677608,0.37678304722793,251,240
"mgm4520323","plant-associated habitat","bulk soil","plant-associated",NA,"root_S20_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01512",-72.5286,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",8386793,27006,0.47937714264795,250.845293638451,6774328,0.61041545999937,251,239
"mgm4520324","plant-associated habitat","bulk soil","plant-associated",NA,"root_S22_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01506",-72.52854,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",20944021,67433,0.545337047406443,250.907270920766,16919430,0.358186612097622,251,243
"mgm4520325","plant-associated habitat","bulk soil","plant-associated",NA,"root_S22_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01506",-72.52854,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",4901966,15783,0.463834257869077,250.880377621491,3959645,0.517381415591078,251,243
"mgm4520326","plant-associated habitat","bulk soil","plant-associated",NA,"root_S23_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01526",-72.52811,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",16474958,53046,0.565857377684897,250.892489537383,13308843,0.384608517539857,251,239
"mgm4520327","plant-associated habitat","bulk soil","plant-associated",NA,"root_S23_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01526",-72.52811,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2583200,8317,0.476742558730719,250.868341950222,2086472,0.60650471693926,251,239
"mgm4520328","plant-associated habitat","bulk soil","plant-associated",NA,"root_S24_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00945",-72.4943,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",21093739,67917,0.562471947803666,250.889526922567,17039664,0.385621517884479,251,243
"mgm4520329","plant-associated habitat","bulk soil","plant-associated",NA,"root_S24_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00945",-72.4943,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3802782,12245,0.498017037749702,250.830134748877,3071415,0.661981543244663,251,242
"mgm4520330","plant-associated habitat","bulk soil","plant-associated",NA,"root_S25_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01446",-72.52847,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",20197394,65031,0.546684531507282,250.904845381433,16316593,0.383740946844671,251,240
"mgm4520331","plant-associated habitat","bulk soil","plant-associated",NA,"root_S25_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01446",-72.52847,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3795325,12221,0.464333968112306,250.849684968497,3065634,0.704175296802763,251,228
"mgm4520332","plant-associated habitat","bulk soil","plant-associated",NA,"root_S26_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01522",-72.52805,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",30813412,99212,0.558949615587162,250.90350965609,24892639,0.36988569636602,251,242
"mgm4520333","plant-associated habitat","bulk soil","plant-associated",NA,"root_S26_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01522",-72.52805,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",4633484,14920,0.467145805093905,250.841219839142,3742551,0.654011115189989,251,240
"mgm4520334","plant-associated habitat","bulk soil","plant-associated",NA,"root_S27_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00938",-72.49425,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",19054871,61351,0.558894294327771,250.90280517025,15393138,0.377642488527102,251,243
"mgm4520335","plant-associated habitat","bulk soil","plant-associated",NA,"root_S27_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00938",-72.49425,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3670847,11820,0.478964393653989,250.841708967851,2964949,0.622614757300949,251,242
"mgm4520336","plant-associated habitat","bulk soil","plant-associated",NA,"root_S28_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01534",-72.52817,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",16576402,53371,0.554191868014204,250.897547357179,13390653,0.360061331007688,251,244
"mgm4520337","plant-associated habitat","bulk soil","plant-associated",NA,"root_S28_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01534",-72.52817,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3520498,11335,0.467710212161248,250.872430524923,2843639,0.563105781113406,251,241
"mgm4520338","plant-associated habitat","bulk soil","plant-associated",NA,"root_S2_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01463",-72.52848,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3184955,10285,0.501221319148672,250.930092367526,2580816,0.385757480972861,251,244
"mgm4520339","plant-associated habitat","bulk soil","plant-associated",NA,"root_S2_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01463",-72.52848,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",1862098,6014,0.458570324605692,250.888925839707,1508846,0.544763566417786,251,244
"mgm4520340","plant-associated habitat","bulk soil","plant-associated",NA,"root_S3_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01023",-72.53063,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",8694002,28079,0.547788693429175,250.896755582464,7044930,0.412969770290901,251,243
"mgm4520341","plant-associated habitat","bulk soil","plant-associated",NA,"root_S3_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01023",-72.53063,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2428712,7846,0.486096663493978,250.807672699465,1967837,0.683627345449725,251,240
"mgm4520342","plant-associated habitat","bulk soil","plant-associated",NA,"root_S4_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01502",-72.52851,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",8596227,27763,0.532609124758163,250.907646868134,6965949,0.393445699335813,251,243
"mgm4520343","plant-associated habitat","bulk soil","plant-associated",NA,"root_S4_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.01502",-72.52851,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2292928,7407,0.469865918840798,250.820845146483,1857830,0.674308488016533,251,243
"mgm4520344","plant-associated habitat","bulk soil","plant-associated",NA,"root_S5_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","USA","41.0150",-72.52847,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",9689549,31294,0.522243793546297,250.910334249377,7851988,0.385567796299893,251,241
"mgm4520345","plant-associated habitat","bulk soil","plant-associated",NA,"root_S5_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","USA","41.0150",-72.52847,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",3275038,10579,0.45448649854489,250.850836563002,2653751,0.59014931153323,251,242
"mgm4520346","plant-associated habitat","bulk soil","plant-associated",NA,"root_S6_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00943",-72.49429,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",12954053,41840,0.55670953657574,250.89801625239,10497573,0.395586714208288,251,243
"mgm4520347","plant-associated habitat","bulk soil","plant-associated",NA,"root_S6_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.00943",-72.49429,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2003199,6471,0.470656077360831,250.834028743625,1623147,0.670711764989472,251,243
"mgm4520348","plant-associated habitat","bulk soil","plant-associated",NA,"root_S7_L001_R1_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.06277",-72.45041,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",8547290,27608,0.569024114401569,250.901840046363,6926898,0.380713259906733,251,243
"mgm4520349","plant-associated habitat","bulk soil","plant-associated",NA,"root_S7_L001_R2_001","Merlot microbiome","metagenome","WGS","north america","United States of America","41.06277",-72.45041,"Udvardy biome","mgp4184","host-associated","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",2811176,9082,0.490003336611408,250.799383395728,2277760,0.692261312537998,251,242
